id;date;name;company;salary;experience;schedule;schedule_dop;key;description
100000447;Вакансия опубликована 1 июня 2024 в Москве;Клиентский аналитик;ООО Самолов Груп;от 30 000 ₽ на руки;Требуемый опыт работы: не требуется;Полная занятость, удаленная работа;;['Коммуникабельность', 'Аналитическое мышление', 'Грамотная устная и письменная речь', 'Интерес к менеджменту'];"Samolov Group — динамичная консалтинговая компания. Мы занимаемся реализацией тренингов по обучению руководителей компаний и разрабатываем online платформу для оценки и развития персонала. Нашими клиентами являются крупные индустриальные организации и государственный сектор: Сбер, Лукойл, Алроса, Mail.Ru Group, Велесстрой, Газпром нефть, Арктикгаз и другие. Чем предстоит заниматься:  Анализировать базу текущих и потенциальных клиентов; Вносить данные в CRM систему; Проводить исследования конкурентов; Изучать наш продукт.  Наши ожидания:  мы ищем начинающих специалистов, главное — стремление к развитию и желание обучаться; способность работать в режиме многозадачности; внимание к деталям, дотошность; грамотная письменная и устная речь.  Что мы предлагаем:  удаленную работу; график 5/2, полный день; стабильную заработную плату, выплаты 2 раза в месяц (всегда вовремя); гарантированный зарплатный рост; карьерный рост в Account manager / Project manager; активно развивающуюся команду и классных коллег."
99618796;Вакансия опубликована 20 мая 2024 в Москве;Стажер-аналитик;КРОК;;Требуемый опыт работы: не требуется;Стажировка, полный день;;['Аналитическое мышление', 'Сбор и анализ информации'];"Мы ищем в команду по разработке программного обеспечения НАЧИНАЮЩЕГО АНАЛИТИКА.У тебя будет возможность решать исследовательские и аналитические задачи с поддержкой старших коллег в масштабных интересных проектах.СТАЖИРОВКА В КРОК – ЭТО:  Старт карьеры. Стажер с первого дня становится частью команды и погружается в реальные проекты с возможностью влиять на бизнес-результат; Путь до junior-специалиста в среднем занимает 6 месяцев — все это время рядом будет наставник и команда, которые будут помогать в адаптации, делиться опытом и помогать достигать профессиональных целей.  НАШ ИДЕАЛЬНЫЙ КАНДИДАТ:  Выпускник профильного направления (бизнес-аналитика, информатика, архитектура предприятия и др.); Обладаешь аналитическим складом ума; Умеешь работать с данными; Умеешь работать с нотациями (BPMN, UML); Знаешь Microsoft Word и Excel на уровне продвинутого пользователя; Знаком с ГОСТ 34; Готов к очному общению с заказчиком; Готов и умеешь работать в команде; Можешь работать от 30 ч. в неделю.  БУДЕТ ПЛЮСОМ:  Умеешь писать базовые SQL-запросы; Умеешь работать в Figma; Обладаешь навыками проектирования БД; Готов разбираться в новом программном обеспечении; Готов и умеешь работать в команде.  ТЕБЯ ЖДУТ ЗАДАЧИ В ПРОЕКТЕ:  Проведение анализа предметной области заказчика; Участие в обсуждении с заказчиком текущих бизнес-процессов; Описание и формализация бизнес-процессов; Документирование требований к автоматизированной системе; Постановка задач на разработку - формирование UI в Figma, детальное описание элементов сформированного UI, формирование и описание объектной модели, написание сценариев использования, описание интеграционных взаимодействий; Подготовка прототипов и проведение демонстраций; Участие в технической поддержке заказчика; Разработка/актуализация проектной и эксплуатационной документации.  МЫ ПРЕДЛАГАЕМ:  Оплачиваемую стажировку; Гибкий график (от 30 часов в неделю) и возможность совмещать работу с учебой; Компенсация питания в уютном CROC Cafe; Well-being-программы – расширенный пакет ДМС со стоматологией, телемедицина 24/7, hotline CROC (внутренняя система консультирования и оперативной помощи по вопросам здоровья); Возможности для профессионального развития – курсы и тренинги от корпоративного университета, митапы от профессиональных сообществ; Спорт – сезонные спортивные программы, компенсация фитнеса, современный зал для занятий в офисе, беговой клуб, приложение Croc Sport, корпоративные команды; Яркая корпоративная жизнь – более 100 программ в год (совместные путешествия, праздники, тимбилдинги, клуб путешественников, случайный кофе); Комфортный офис с экосистемой сервисов, парковкой, корпоративным транспортом от метро, собственной кофейней.  Данное описание вакансии не является офертой"
98524227;Вакансия опубликована 7 мая 2024 в Москве;Стажер-практикант в отдел анализа рынков и маркетинга;РУСАЛ, Центр подбора персонала;;Требуемый опыт работы: не требуется;Стажировка, полный день;;['Английский\xa0— B1 — Средний'];"Обязанности: - Сбор и консолидация информации; - Мониторинг и анализ рынка (изучение/знание марочного ассортимента продукта), подготовка периодических аналитических отчетов; - Визуализации данных в различных программах; - Подготовка писем, ответов на запросы; - Работа во внутренних корпоративных системах. Требования: - Грамотная речь и навыки структурированного письменного изложения; - Образование – высшее (в области маркетинга или аналитики); - Знание программ MS Office (Word, Excel, Outlook, PowerPoint); - Excel на уровне продвинутого пользователя; - Знания инструментов - Python, SQL; - Опыт визуализации данных - MS Power BI, SAP, MS P.Point; - Знание Английского языка (B1-B2). Условия:   - Работа в крупной стабильной компании, лидере мировой алюминиевой отрасли; - Официальное трудоустройство; - Заработная плата обсуждается; - Корпоративное обучение; - ДМС; - Дотация на питание; - Работа в комфортной обстановке среди единомышленников; - Место работы: г. Москва, ул. Василисы Кожиной, д. 1, БЦ ""Парк Победы""."
89842878;Вакансия опубликована 31 мая 2024 в Москве;Специалист по трейд-маркетингу;ООО Савушкин продукт;;Требуемый опыт работы: не требуется;Полная занятость, полный день;;['Точность и внимательность к деталям', 'Работа с большим объемом информации', 'Торговый маркетинг', 'Анализ рынка', 'Trade Marketing', 'Аналитика продаж', 'Оценка эффективности промо акций', 'Проведение промо акций', 'Организация федеральных трейд-маркетинговых кампаний', 'Контроль и анализ ценообразования', 'Конкурентная аналитика', 'Анализ ассортиментной линейки', 'Адаптация трейд-маркетинговой стратегии', 'Анализ ценообразования', 'Деловая коммуникация', 'MS Excel', 'Бюджетирование', 'Бизнес-планирование', 'Управление бюджетом', 'Анализ бизнес показателей', '1C: Финансы'];"В отдел торгового маркетинга компании ООО Савушкин продукт требуется Специалист по трейд-маркетингу со знанием программы Excel ,желанием расти и развиваться в этой области! Обязанности:  Планирование ТМ активностей на вверенной территории совместно с отделом продаж; план-факт анализ. Аналитика активностей конкурентов; Контроль бюджета ТМ по зоне ответственности; Ведение-контроль базы данных канала продаж в учетной системе 1С; Консолидация данных и подготовка ТМ отчетов; Поддержка архива документооборота ТМ отдела-канала продаж; Выполнение различных ТМ задач от руководителя;  Требования:  Высшее профильное образование(финансы, маркетинг); Опыт работы в аналогичной должности не менее года, либо в продажах или аналитике;  Excel-продвинутый уровень; Личные качества: честность, многозадачность, умение работать в команде, пунктуальность;  Условия:  Официальное трудоустройство по ТК РФ с первого рабочего дня; Полностью белая заработная плата; Оплата больничного и отпуска; График работы: 5/2 с 09.00-18.00; Место работы: улица Станция Стройка владение 1 строение 2; Корпоративный автобус: метро Выхино, Новогиреево;"
100412648;Вакансия опубликована 27 мая 2024 в Москве;Аналитик в отдел безопасности;Ингосстрах;;Требуемый опыт работы: не требуется;Полная занятость, полный день;;['Информационная безопасность', 'Работа с системами аналитики', 'Работа с большим объемом информации', 'MS SQL', 'VBA'];Что нужно делать:  Ведение баз данных, работа с ними (построение запросов, выборка данных) и их сопровождение Сбор и обобщает выявленных факторов страхового мошенничества Осуществление мониторинга и анализа оперативной обстановки как в Российской Федерации, так и в отдельных её регионах в целях выработки рекомендаций по мерам противодействия  Что нужно знать и уметь:  Высшее образование Умение работать с базами данных, умение писать макросы (VBA), SQL запросы, работа с функциями в Excel (продвинутый пользователь) Личностные характеристики: ответственность, организованность, аналитический склад ума, умение работать в команде, коммуникабельность  Что мы предлагаем:  Работу в топ-5 страховых компаний РФ ДМС сразу после испытательного срока Обучение в одном из лучших корпоративных университетов и бесплатный корпоративный доступ к электронной библиотеке Альпина Бонусы и скидки от партнеров Активную спортивную жизнь внутри компании: бег, волейбол, баскетбол, футбол, йога и многое другое Льготные условия на страховые продукты (страхование имущества, автотранспорта, ВЗР) Зарплатный проект от корпоративного АО Ингосстрах Банка: повышенный кешбэк бонусами, льготы по кредитам, ипотеке, рефинансированию, выгодные ставки по вкладам, накопительным счетам Место работы: ст. м. Белорусская, ул. Лесная д.39
94079008;Вакансия опубликована 23 мая 2024 в Москве;Аналитик 1С (финансовый учет);Первый Бит;;Требуемый опыт работы: не требуется;Полная занятость, полный день;;[];"Приветствуем, будущий коллега! Проектный офис Павелецкая находится в поисках аналитиков 1С на проекты по финансовому учету, управленческому учету, МСФО, как с опытом работы, так и начинающих специалистов. Здесь тебя ждут интересные задачи, творческий подход, команда единомышленников, и конечно же профессиональное развитие! ЧЕМ ПРЕДСТОИТ ЗАНИМАТЬСЯ:  Составление документации проекта по образцам на основе данных интервью с заказчиком; Моделирование бизнес-процессов заказчика в типовых программных продуктах 1С; Сбор и описание функциональных требований и технических заданий; Тестирование выполненной разработки под руководством куратора; Написание пользовательских инструкций; Непрерывное обучение и сертификация по стандартам компании Первый Бит и фирмы 1С.  ЧТО ТЕБЕ ПРИГОДИТСЯ В РАБОТЕ У НАС:  Теоретические знания предметных областей (бухгалтерский учет, финансы, управленческий учет); Опыт участия в проектах по автоматизации на 1С - как преимущество; Навыки использования конфигураций 1С – как преимущество; Стремление развиваться и повышать свой профессионализм в сфере автоматизации.  МЫ ПРЕДЛАГАЕМ:  Официальное трудоустройство с первого дня в аккредитованную IT-компанию (отсрочка от мобилизации, льготная ипотека и прочее); Достойный оклад и премии за достигнутые результаты; График работы 5/2 с гибким началом и концом рабочего дня; Льготная ДМС в лучших клиниках города (Медси, Семейный доктор и другие); Закрепленного наставника и систему мотивации с четкими планами развития; Офис в шаговой доступности от метро Пролетарская."
98239412;Вакансия опубликована 23 мая 2024 в Москве;Стажер в отделе коммерческой эффективности (SFE);Abbott Laboratories;;Требуемый опыт работы: не требуется;Стажировка, полный день;;['MS PowerPoint', 'Статистический анализ', 'MS Excel', 'Аналитический склад ума', 'Математическая статистика', 'Математический анализ'];Компания Abbott является мировым лидером в области медицины и помогает людям жить полной жизнью на всех ее этапах. Наши технологии, меняющие жизнь людей, охватывают широкий спектр инновационных продуктов и решений, включая диагностику, медицинские устройства, питание и лекарственные препараты. Наши 115 000 сотрудников работают на благо людей в 160 странах мира. Стажировка позволит тебе получить практические навыки работы в отделе коммерческих операций и возможность приобрести опыт кросс-функциональной работы с другими отделами. Твои основные задачи на этой позиции:   Участие в проектах SFE команды в качестве стажера-аналитика Расчет планов продаж по согласованному алгоритму по территориям ответственности сотрудников компании. Оценка прогнозов бонусов на ежемесячной основе. Участие в проекте по созданию модели прогнозирования продаж по Аптечным сетям. Участие в создании отчетов по SFE KPI и мониторинг показателей. Подготовка презентаций для руководства  Требования:  Быть студентом старших курсов Аналитический склад ума Системный анализ Умение работать с большими массивами данных Опыт создания многофакторных моделей Английский язык Intermediate и выше Уверенный пользователь в Excel,Power Point  Мы предлагаем:  Годовую оплачиваемую стажировку Возможность сделать старт твоей карьеры в одной из крупнейших международных компаний на рынке Интересные задачи и перспективы профессионального развития Гибридный график работы      Для того, чтобы принять участие в конкурсе:  Оставь отклик на эту вакансию Пообщайся с рекрутером Пройди online интервью с твоим будущим руководителем Успешно выполни тестовое задание Получи предложение о работе и начни свою карьеру в Abbott
99077638;Вакансия опубликована 27 мая 2024 в Москве;Data Analyst (SQL);WILDBERRIES;;Требуемый опыт работы: не требуется;Полная занятость, полный день;;['SQL'];"WILDBERRIES — это крупнейшая в странах ЕАЭС международная онлайн-платформа, на которой представлено около 500 млн товаров от 450 000 предпринимателей. - 8 стран присутствия и более 30 тыс. пунктов выдачи заказов- Ежедневно совершаются 10 млн заказов- 8 из 10 заказов доставляются на следующий день- Свыше 170 000 человек в нашей команде Круг задач:  Выстраивание ежедневного контроля и аналитики по эффективности бизнес-процессов; Разработка мероприятий, направленных на сокращение затрат и повышение доходов бизнеса; Взаимодействие с руководителями, разработчиками, аналитиками и операционистами смежных бизнес-направлений; Работа с данными (PostgreSQL, PowerQuery, Excel):○ контроль полноты и качества○ сравнение данных из разных источников, объяснение разниц○ подготовка витрин данных Разработка форм и дэшбордов управленческой отчетности (Superset, PowerPivot); Подготовка ad-hoc отчетов и ответов на запросы со стороны руководства.  Какие знания/навыки и требования необходимы?  Уверенное владение SQL, применение на ежедневной основе на текущем/прошлом рабочем месте; Знание Python будет преимуществом; Оконченное высшее образование (преимущественно техническое); Уверенное владение Excel (формулы, сводные таблицы, графики); Опыт подготовки отчетов, на основании которых руководство принимало управленческие решения; Умение мыслить и действовать вне рамок шаблонов и бюрократии, нацеленность на достижение результата; Решение задачи в автономном режиме, расстановка приоритетов; Стрессоустойчивость, умение работать в сжатых сроках;  Мы предлагаем:  Официальное оформление в соответствии с ТК РФ; Официальная заработная плата; Гибридный формат работы; Корпоративные скидки от наших партнеров; Бесплатное питание на собственной оборудованной кухне, а также вендинговые аппараты;  Возможность управлять процессами крупнейшего игрока e-Commerce в СНГ;   Интересные и сложные проекты, уникальный опыт."
99533766;Вакансия опубликована 20 мая 2024 в Москве;Аналитик (начинающий специалист);Рексофт;;Требуемый опыт работы: не требуется;Полная занятость, полный день;;['Английский язык', 'Аналитическое мышление', 'Стратегический консалтинг', 'Подготовка презентаций', 'Анализ данных', 'Аналитика', 'MS Power BI', 'Английский\xa0— B1 — Средний'];"Компания открывает уникальную возможность для выпускников вузов пройти отбор на начальную позицию и построить карьеру в компании мечты. Мы предлагаем уникальную возможность прокачать свои знания вместе с настоящими профессионалами своего дела, а также получить уникальный опыт работы на реальных консалтинговых проектах для крупнейших российских и международных компаний в различных индустриях и областях (Управление цепями поставок, Стратегия трансформации, Коммерция и Маркетинг, Управление персоналом и т.д.). Чем ты будешь заниматься:  Диагностика бизнес-процессов клиентов и формирование инициатив по их совершенствованию; Анализ рынка и поиск возможностей развития; Разработка презентационных материалов; Работа с данными и аналитикой в Excel, Power BI.  Мы приглашаем тебя посоревноваться за место в нашей команде если ты:  Имеешь законченное высшее образование или в процессе сдачи гос. экзаменов и получения диплома; Имеешь аналитический склад ума и готов его применять в рамках проектов и исследовательской работы; Владеешь английским языком не ниже Upper-intermediate (умеешь читать, писать и изъясняться)."
96388037;Вакансия опубликована 7 мая 2024 в Москве;Web аналитик (Маркетинг, Web & App, удаленно);Siberian Wellness;;Требуемый опыт работы: не требуется;Полная занятость, удаленная работа;;['Аналитическое мышление', 'Анализ данных', 'Аналитика', 'Яндекс.Метрика', 'WEB аналитика', 'Yandex Direct', 'Анализ посещаемости сайтов', 'Google Analytics', 'MS SQL'];"Siberian Wellness – больше, чем просто производственная компания с 27-летней историей. Это – международный бренд, чьи продукты любят Клиенты в более чем 60 странах мира. А сотни тысяч предпринимателей в Европе, Азии, Америке, ведут бизнес с нами. Мы производим биологически активные добавки, витамины, косметику, парфюмерию, спортивное и функциональное питание для активного образа жизни и отличного самочувствия. Мы стремительно развиваемся, и не боимся ломать привычные рамки и стереотипы. О компании:   Полный цикл – разработка, собственное производство, продвижение и продажи   Мы имеем собственные торговые представительства в 17 странах, торговые представительства по франчайзингу в 10 странах, 5 распределительных центров, фирменную сеть из 99 офлайн-магазинов и 20 интернет-магазинов, а также 1285 магазинов, работающих с нами по франчайзингу.   Задачи:  Обеспечение аналитическими данными по итогам активностей в цифровых каналах.  Обязанности:  Управление внешними системами аналитики web/app с помощью GTM-контейнера; Настройка Яндекс.Метрики (фильтры, цели) и GA 4 (фильтры, события и конверсии), экспорт данных в Google.BigQuery; Работа с сырыми данными в Google.BigQuery (написание SQL-запросов, контроль Data Lake и подготовка аналитических витрин данных в DWH); Сбор сырых данных из различных хранилищ (сайт, app, CRM, файлы); Подготовка аналитических отчётов в разрезах, с разными моделями атрибуции и разными подходами (CPL based, CPO based, LTV based); Настройка коннекторов для выгрузки расходов из рекламных кабинетов в Google.BigQuery; Работа в паре с дашбордистом для визуализации сырых данных в user friendly виде.  Требования:  3 года практического опыта работы с Яндекс.Метрика, GA4, GTM ; Практический опыт работы с Google.BigQuery, GA4; Уметь писать SQL-запросы (оконные функции, ключи, джойны) на разных синтаксисах (синтаксисы опциональны и не критичны); Понимать основные метрики интернет-рекламы: CPL, CPO, LTV, модель атрибуции; Иметь базовые понимания HTML (DOM, CSS) и JS (document.queryselector, same-origin policy), понимать что такое ClientID, cookies, fingerprint; Уметь собрать сырые данные в BI-системе (у нас Tableau); Иметь представления о математической статистике (ошибка первого и второго рода, классическое алгоритмы прогнозирования временных рядов, оценка достоверности данных); Иметь опыт либо желание изучить системы стриминга данных по типу OWOX; Уметь разобрать с новыми счётчиками, пикселями от рекламных систем, подготовить ТЗ на интеграцию программистами (если это нельзя сделать через GTM)."
