id;date;name;company;salary;experience;schedule;schedule_dop;key;description
98812049;Вакансия опубликована 31 мая 2024 в Санкт-Петербурге;Специалист по продвижению бренда;Торгово-производственная компания ООО ЭДЕЛЬВЕЙС;;Требуемый опыт работы: 1–3 года;Полная занятость, полный день;;['Аналитические исследования', 'Анализ рынка', 'Аналитическое мышление', 'MS PowerPoint', 'Проведение презентаций', 'B2B', 'b2b исследования', 'Маркетинговые исследования', 'Маркетинговый анализ', 'B2B Продажи', 'Желание учиться', 'Широкий кругозор', 'B2C маркетинг', 'Исследования рынка', 'Маркетинг', 'B2B маркетинг', 'Разработка нового продукта', 'Сбор и анализ информации'];"Мы производим технологичную упаковку для продуктов питания с короткими сроками годности. Работаем по всей России уже более 19 лет. За последний год мы сильно выросли и вышли в новые для себя направления бизнеса. В отдел развития ищем менеджера, который готов вместе с нами расти и создавать новые продукты. В задачи менеджера будет входить:  Совместная работа над новыми продуктами по всей цепочке, начиная с изучения рынка до выпуска продажу и организацию маркетинга. Анализ потенциальных рынков b2b и b2c, маркетплейсов, маркетинговые исследования, аналитика данных по продажам и потребительскому спросу Работа с маркетплейсами на начальном этапе Работа с фрилансерами и агентствами по направлениям: исследования рынка, работа с маркетплейсами, маркетинговые коммуникации и др. Работа с менеджерами по продажам: сбор и анализ информации о продажах, координация и контроль продаж по новым продуктам, подготовка материалов для обучения менеджеров. Коммуникации с производством. Проработка деталей по проекту, контроль сроков и качества новых продуктов.  Требования:  Желание развиваться в маркетинге, продвижении, продакт-менеджменте или отделе продаж; Понимание принципа работы b2b-рынков; Аналитические навыки, умение работать с большим количеством информации; Широкий кругозор, интерес к бизнесу и желание постоянно учиться;  Условия:  Работа в отделе, внедряющим инновации в компании; График работы с 9:00 до 18:00; трудоустройство по ТК РФ; корпоративная связь; дружный молодой коллектив; Место работы: офис в центре Санкт-Петербурга рядом со станцией метро ""Площадь Восстания""; метро ""Чернышевская"""
98558876;Вакансия опубликована 31 мая 2024 в Санкт-Петербурге;Маркетолог [IT];Secreate;;Требуемый опыт работы: 1–3 года;Полная занятость, полный день;;['CJM', 'QFD', 'RDB', 'NPS', 'Market Research'];"Привет! Мы Secreate - ИТ-компания с подходом 360° - закрываем цифровые задачи бизнеса, от аналитики и разработки любой сложности до проектного консалтинга и поддержки готового решения. Среди наших клиентов и твоих потенциальных проектов, такие компании как: Уралхим, Росгосстрах, Ростелеком, Сколково, Skyeng, OZON, Kaspersky, ИТМО, МИСИС и другие. Мы открыты новому, и даем свободу действовать, меняться и строить свой профессиональный путь. Среди наших принципов:  Отсутствие бессмысленной бюрократии и излишнего формализма. Безграничные возможности развития. Гибкость к изменениям.  А еще у нас полная удаленка, программа бенефитов для команды и ламповая атмосфера. Мы ищем опытного маркетолога с успешным опытом работы в B2B компаниях, способного эффективно действовать в сложных нишах рынка. Если ты готов(а) к классному опыту, то ознакомься с нашими условиями. Чем предстоит заниматься:  Проведение маркетинговых исследований для анализа рынка, конкурентов и потребителей с целью определения стратегических направлений. Разработка Customer Journey Map (CJM) для каждого сегмента, определения ключевых точек контакта и оптимизации пользовательского опыта. Участие в процессе ценообразования, проведение анализа ценовой конкурентоспособности и определение оптимальных ценовых стратегий. Измерение уровня удовлетворенности клиентов с помощью Net Promoter Score (NPS) и разработка мероприятий по улучшению этого показателя. Применение метода Quality Function Deployment (QFD) для перевода потребностей клиентов в конкретные характеристики продукта или услуги. Применение метода Relational Database (RDB) для управления клиентской базой данных и персонализации маркетинговых коммуникаций. Взаимодействие с другими отделами компании для обеспечения согласованности маркетинговых стратегий с общей бизнес-стратегией.  Наши ожидания:   Обязательный опыт в B2B на позиции маркетолога от 2-х лет   Опыт работы с IT-услугами/продуктами, знание IT-рынка.   Умение анализировать и структурировать статистические данные.   Самостоятельность, осознанное отношение к своей работе и готовность нести ответственность за результат.   Условия:   Гибкое оформление: ИП, ГПХ, ТК РФ;   Полная удаленка по всему миру;   4 оплачиваемых Day-Off в год;   Частичная/полная компенсация проф. курсов, лекций, семинаров;   Корпоративные занятия английским языком.   Интересно? Откликайся на вакансию и становись частью нашей команды! Ждем твое сопроводительное с кейсами и цифрами по увеличению выручки."
98304386;Вакансия опубликована 3 мая 2024 в Санкт-Петербурге;Менеджер Wildberries;Кожгалантерейная фабрика АНТАН;от 60 000 до 130 000 ₽ на руки;Требуемый опыт работы: 1–3 года;Полная занятость, полный день;Возможно временное оформление: договор услуг, подряда, ГПХ, самозанятые, ИП;['Работа с большим объемом информации', 'Аналитическое мышление', 'MS PowerPoint', 'Учет остатков', 'Internet', 'MS Excel', 'ABC-анализ', 'Ответственность', 'Internet Marketing', 'Аналитический склад ума', '1С', 'Партнерские программы в социальных сетях', 'SMM', 'Аналитика продаж', 'Анализ конкурентной среды', 'Подготовка отчетов', 'Маркетинговый анализ', 'Наполнение контентом', 'Анализ продаж', 'Сбор и анализ информации', 'Оценка потребностей клиентов', 'Анализ ассортиментной линейки', 'Анализ данных', 'Аналитика'];"КТО МЫ ТАКИЕ? ❣️Мы - семейный бренд российского производства, работаем более 23х лет. Создаем женские, молодежные, дорожно-спортивные, деловые, мужские, универсальные сумки, клатчи и маленькие сумочки, наш ассортимент насчитывает более 250 SKU, и мы постоянно совершенствуем продукт для наших пользователей. Наши клиенты — российские оптовые компании и крупные магазины кожгалантереи. Мы размещены на основных площадках: Wildberries, Ozon, Lamoda, а также в розничных сетях партнеров по всей России. Ищем в свою команду Ведущего специалиста в отдел e-commerce (wildberries) Что предстоит делать: ▪️Ведение SKU 100 шт.▪️Активное пользование рекламных инструментов;▪️Продвижение товара в ТОП и удержание их на высоких позициях;▪️Анализ в EGGHEADS, MPSTATS;▪️Анализ текущих цен и ежедневных продаж;▪️Контроль и участие в акциях на площадке;▪️Работа с контентом;▪️Поддержание рейтинга карточки (поиск исполнителей для органических выкупов, работа с отзывами);▪️Работа с МS Ехсеl ,формулы и сводные таблицы, ведение внутренней аналитики;▪️Работа в программе 1С (8 Торговля и Учет);▪️Ежедневная/еженедельная/ежемесячная отчетность. Нам важно: ▪️Опыт работы не менее полу года;▪️Знание платформ EGGHEADS, MPSTATS;▪️Умение заводить рекламные компании и анализировать их эффективность;▪️Умение анализировать показатели CTR, CPC, CR;▪️Работа с внутренней рекламой - настройка и контроль (карточка, поиск, каталог), работа с биддерами;▪️Опыт работы с внешней рекламой (поиск блогеров, закупщиков рекламы, заключение договоров, подготовка тех задания, тест других видов внешней рекламы);▪️Опыт выведения карточек в топ.   Мы предлагаем: ▪️Гибридный график (офис в 500 метрах от метро Московские ворота);▪️Официальное трудоустройство по ТК РФ;▪️Заработную плату от 60.000 р на руки (оклад+KPI) ;▪️Работа в стабильной компании отечественного производителя! Мы рады видеть Тебя в нашей Команде, если ты: Желаешь стабильный доход и интересную работу, не боишься ответственности и любишь свою профессию, хочешь работать в дружном и энергичном коллективе! Если Вы прочитали до конца и поняли, что эта вакансия создана для Вас, то откликайтесь!Будет плюсом, если Вы напишите сопроводительное письмо, указав в нем 3 причины, почему именно Вы должны оказаться в нашей команде!     Ключевые фразы для поиска: SMM, менеджер маркетплейсов, маркетплейс-менеджер или специалист маркетплейса, CEO"
99254193;Вакансия опубликована 17 мая 2024 в Санкт-Петербурге;WEB Аналитик / Таргетолог Яндекс.Директ;Imperial Orchestra;;Требуемый опыт работы: 1–3 года;Полная занятость, полный день;;[];В команду Imperial Orchestra требуется WEB аналитик / Таргетолог Яндекс.Директ. А вы могли подумать, что будете работать в симфоническом оркестре? Обязанности: 1) Сбор и анализ данных о посетителях сайта и поведении пользователей с помощью инструментов веб-аналитики (Google Analytics, Яндекс.Метрика и др.).2) Разработка и внедрение систем отслеживания ключевых показателей (KPI) и отчетности по веб-аналитике.3) Анализ эффективности рекламных кампаний и предложений по их оптимизации.4)Исследование пользовательского опыта (UX) и предоставление рекомендаций по улучшению интерфейсов сайта.5) Взаимодействие с отделом маркетинга для повышения конверсии и улучшения стратегии привлечения клиентов.6) Проведение A/B тестирования и других методов для улучшения пользовательского пути.7) Подготовка регулярных отчетов о состоянии сайта и эффективности маркетинговых активностей.8) Формирование и контроль плана продаж, анализ выполнения плана и предложение корректирующих действий.9) Сегментация и анализ целевой аудитории, составление портретов целевых групп.10) Внедрение и использование сквозной аналитики для оценки вклада различных каналов в продажи.11) Разработка и реализация стратегий таргетированной рекламы в Яндекс.Директ.12) Оптимизация рекламных кампаний для достижения лучших показателей ROI.13) Мониторинг и анализ конкурентов и тенденций на рынке. Требования: ​​​​​​​1) Высшее образование в области маркетинга, математики, статистики, информационных технологий или смежных областях.2) Опыт работы веб-аналитиком/таргетологом от 2 лет.3) Отличное знание инструментов веб-аналитики (Google Analytics, Яндекс.Метрика и др.).4) Навыки работы с системами управления тегами (Google Tag Manager).5) Понимание основ SEO и опыт работы с инструментами для его анализа.6) Умение работать с большими объемами данных и делать на их основе обоснованные выводы.7) Знание основ программирования (JavaScript, HTML, CSS) будет преимуществом.8) Опыт работы с Яндекс.Директ и настройка таргетированных рекламных кампаний.9)Высокие аналитические способности, внимание к деталям и системное мышление. Условия: ​​​​​​​​​​​​​​1) Конкурентоспособная заработная плата.2) Возможность профессионального и карьерного роста.3) Работа в дружной и творческой команде.4) Участие в организации крупных музыкальных событий.5) Современный офис в центре города или возможность удаленной работы.
92837543;Вакансия опубликована 14 мая 2024 в Санкт-Петербурге;Начальник отдела разработки продукта;Группа Компаний Ленстройтрест;;Требуемый опыт работы: 3–6 лет;Полная занятость, полный день;;[];"Приглашаем принять участие в конкурсе на вакансию руководителя отдела разработки продукта в дирекцию по маркетингу. Мы ищем сотрудника, который сочетает в себе опыт и искренний интерес к жилищному девелопменту. У нас много интересных задач:  Управление разработкой проекта в части создания продуктовой стратегии Участие в определении параметров продукта: функциональное назначение, ассортиментная матрица, планировочные решения, архитектурные решения фасадов, дизайн интерьеров мест общего пользования, концепция благоустройства, навигация, концепция сервиса Управление разработкой интерьеров мест общего пользования, отделкой квартир, благоустройства, инженерных систем в части продукта Презентация продукта для фронт-офиса Разработка и внедрение новых продуктовых решений на основании бенчмаркинга конкурентов и анализа лучших мировых практик  Наши пожелания к кандидату:  Высшее образование (приоритетные направления: ПГС, архитектура, маркетинг) Релевантный опыт Понимание процесса создания девелоперского продукта от выбора участка до передачи дома управляющей компании Понимание стадийности архитектурного проекта Знание основных игроков рынка и понимание тенденций развития отрасли Чувство вкуса, профессиональный интерес к архитектуре и дизайну  Условия:  Мы работаем с интересными проектами жилой квартальной застройки, следим за качеством строительства и ""новинками"" в отрасли Сильная профессиональная команда и компетентное руководство Комфортный офис в историческом центре на Миллионной улице, своё уютное кафе с ароматным кофе, несколькими сортами чая и сладкими плюшками в обед, ДМС после испытательного срока График работы - пятидневная рабочая неделя, по согласованию с руководителем возможность рассмотрения удобного времени начала и окончания работы Уровень заработной платы обсуждается"
100068419;Вакансия опубликована 24 мая 2024 в Санкт-Петербурге;Дата разработчик;Сбер для экспертов;;Требуемый опыт работы: 1–3 года;Полная занятость, полный день;;[];"Команда данных по инвестиционным продуктам. Мы развиваем DWH по инвестиционным продуктам для аналитических сервисов мобильного приложения Сбербанк Онлайн секции ""Всего средств"" и участвуем в развитии единого DWH банка. Моделируем и развиваем базовые витрины по инвест продуктам и спец. витрины расчета доходности портфеля клиента. Мы ищем разработчика хранилищ данных/ETL инженера, способного принять активное участие в развитии базового аналитического слоя хранилища данных, а также в построении витрин и контролей качества данных по портфелю клиента в инвестиционных продуктах (Доверительное управление, Брокеридж, ПИФ, ивест. Страхование). Данная роль предусматривает: создание витрин и вывод их в пром в соответствии с банковским релизным процессом, развитие модели хранения данных, реализация реконсиляции с эталонными данными, работу с качеством данных – как методология (что такое «качество»), так и техническая реализация процессов проверки качества данных. Обязанности  участие в разработке витрин данных с использованием инструментов Hadoop разработка интеграционных решений между хранилищем данных и мобильными сервисами разработка решений потоковой обработки данных в режиме near real time оптимизация существующих разработок подготовка и сборка дистрибутивов, сопровождение по стендам разработки и тестирования quality assurance решений промышленного контура: разрабатываемых и уже внедренных.  Требования  опыт работы с инструментами Hadoop (Hive, Spark, Oozie, HDFS, YARN), понимание внутренней архитектуры опыт работы с ведущими СУБД (Teradata, Oracle, MS SQL) знание SQL на уровне оптимизации сложных запросов опыт разработки и оптимизации расчетов на больших объемах данных в Hadoop, знание Scala знания принципов построения распределенных систем хранения и обработки данных знание классических алгоритмов и структур данных понимание архитектуры хранилищ данных уверенная работа с git, bitbucket, jenkins умение тестировать и документировать собственный код, а также работать с существующим кодом  Будет плюсом, если ты имеешь:  уверенное знание и опыт программирования на Scala/Java опыт работы с NoSQL базами данных (HBase, Cassandra) опыт работы с Kafka и разработки NRT решений опыт работы со Spark Streaming, Kafka, будет плюсом Flink опыт создания высоконагруженных распределенных систем, знакомство с существующими практиками в области участие в проектах с открытым исходным кодом.  Условия  конкурентная заработная плата (оклад + годовой бонус) режим работы гибрид/офис команда Agile, готовая поддержать ваши инициативы прозрачная система бонусов и премий мощное железо доступ к базе знаний Корпоративного университета, виртуальная школа, конференции масштабные и высоконагруженные проекты с использованием новых технологий трудоустройство согласно трудовому кодексу отсутствие строгого дресс-кода ДМС (медицинское страхование) с первого дня работы, бесплатная подписка СберПрайм, льготные ставки по ипотеке ДомКлик, Льготные ставки по потребительским кредитам, бесплатный тренажерный зал возможность профессионального или карьерного роста."
94771975;Вакансия опубликована 12 мая 2024 в Санкт-Петербурге;Маркетолог-аналитик;Максидом;;Требуемый опыт работы: 3–6 лет;Полная занятость, полный день;;['Анализ рынка', 'MS Excel', 'ABC-анализ', 'Мониторинг рынка', 'Мониторинг цен', 'Анализ ассортиментной линейки', 'Категорийный менеджмент', 'Аналитическое мышление', 'XYZ-анализ'];"Обязанности: Ведение товарного направления в рамках следующих функций:  Ценообразование (назначение и изменение розничных цен согласно установленным принципам) Разработка товарных матриц в разрезе ценовых сегментов Подготовка и аналитика рекламных акций по своему направлению Проведение ABC-анализа, подготовка рекомендаций для коммерческого отдела для ""ввода"" и ""вывода"" товаров Формирование аналитических отчетов по своему направлению Работа с планограммой и разработка принципов выкладки товарных подгрупп, аналитика их эффективности Работа с классификатором и свойствами товаров  Требования:  Высшее образование Знание основ маркетинга и аналитических инструментов (SWOT-анализ, PEST-анализ, ABC-, XYZ-анализ) Знание основных понятий коммерческой деятельности Знание основ категорийного менеджмента и управления ассортиментом      Условия:  График работы с 9 до 18; Оформление в соответствии с ТК РФ; Социальный пакет, ДМС; Интересная работа в крупной и динамично развивающейся компании - одной из лидеров рынка DIY; Дружный коллектив; Работа в команде профессионалов; Скидка на товары гипермаркета;"
100403655;Вакансия опубликована 27 мая 2024 в Санкт-Петербурге;Аналитик / ведущий специалист отдела аналитики;VALO Hotel City;;Требуемый опыт работы: 3–6 лет;Полная занятость, гибкий график;Возможно временное оформление: договор услуг, подряда, ГПХ, самозанятые, ИП;['Деловая коммуникация', 'Работа с большим объемом информации', 'Точность и внимательность к деталям', 'Деловая переписка', 'Аналитическое мышление', 'Аналитика', 'Сбор и анализ информации', '1С', 'Анализ данных', 'MS PowerPoint', 'Подготовка презентаций', 'Составление отчетности', 'Оперативный поиск информации в сети Интернет', 'Сводные таблицы', 'Визуализация данных', 'Прогнозирование', 'SWOT анализ', 'Развитие бренда', 'Бизнес-аналитика', 'Анализ текущих финансовых показателей', 'Математический анализ', 'Конкурентная аналитика', 'Английский\xa0— A2 — Элементарный'];"Город отелей Valo Hotel City открылся в марте 2020 года. Отели Valo Hotel City 3* и Ramada Plaza by Wyndham St Petersburg 4* являются частью комплекса апарт-отелей VALO. Российский стартап с финскими корнями открыл свой Город отелей Valo Hotel City в марте 2020 года. Отели Valo Hotel являются частью комплекса апарт-отелей VALO (Valo Hotel City 3*, Ramada Plaza by Wyndham St Petersburg 4*,VALO SOUL 4*, VALO BUSINESS 4*, MERCURE 5*, NETWORK 4*. В 2024 году компания успешно управляет номерным фондом 2 600 номеров. Вследствие запуска и открытия нового апарт-отеля UNO, в 2024 году номерной фонд компании составит 2 800 апартаментов. В настоящий момент мы активно масштабируем проект VALO в новых регионах присутствия, выступая консультантами и партнерами в проектах строительства апарт-комплексов по всей России. Мы внимательно следим за глобальными тенденциями развития общества и учитываем их для принятия стратегических решений по развитию новаторской бизнес-модели VALO. Мы ищем АНАЛИТИКА в свою дружную команду, где царит атмосфера открытости и доверия, свободы проявлять себя, ответственности, взаимной поддержки и уважения к ценности каждого работника. Для нас важно, чтобы в команду пришел единомышленник, который разделит ценности VALO, и будет также как мы вдохновлен идеей счастья клиентов. Мы смотрим в будущее. Для нас всё невозможное - ВОЗМОЖНО! ЧТО ВАМ ПРЕДСТОИТ ДЕЛАТЬ:  Участие в разработке и формировании концепций комплексов апартаментов, включая построение финансовых моделей; Маркетинговая оценка и финансовый анализ потенциальных проектов; Анализ фактических бизнес-показателей компании; Исследования рынка коммерческой недвижимости (рынок апартаментов, отелей, гостиниц), сбор и анализ показателей, выявление тенденций и построение прогнозов. Поиск необходимой информации по рынку коммерческой недвижимости в открытых источниках; Мониторинг текущей ситуации на рынке недвижимости, отслеживание основных тенденций; Подготовка аналитических отчетов по рынку недвижимости; Подготовка презентаций для совещаний, конференций и других мероприятий; Подготовка и выпуск специализированных исследований; Поддержка в ведении регулярной отчетности по различным направлениям – сбор и представление данных.  МЫ ОЖИДАЕМ ОТ ВАС:  Высшее образование в области экономики/аналитики/маркетинга/менеджмента предпочтительно; Опыт работы в компаниях, предоставляющих консалтинговые услуги Девелоперам; Профессиональный пользователь Excel; Аналитический склад ума, внимательность,  МЫ ГОТОВЫ ВАМ ПРЕДЛОЖИТЬ:  Официальное трудоустройство, согласно ТК РФ и соблюдение всех социальных гарантий; Удобный график и режим работы: 5/2 с 09:00 (10:00) до 18:00 (19:00); Комфортные условия труда в современном комфортабельном офисном помещении отеля VALO. Локация: м. Бухарестcкая; Полис ДМС по программе страхования «БИЗНЕС» после прохождения испытательного срока; Софинансирование спортивного абонемента ФИТНЕС-ХАУЗ с возможностью посещения клубов сети; Карьерный рост и развитие профессиональных компетенции при поддержке ключевых руководителей; Обучение в корпоративном университете VALO, участие в корпоративных проектах для работников и программах признания достижений; Наилучшую стоимость услуг компаний-партнеров Отеля (кафе, рестораны, химчистка и пр.); Кофе, чай, оборудованное помещение для питания."
99705893;Вакансия опубликована 21 мая 2024 в Санкт-Петербурге;BI-analyst \ Data analyst \ Аналитик данных (Senior);ООО Займиго МФК;от 200 000 ₽ на руки;Требуемый опыт работы: 3–6 лет;Полная занятость, полный день;;['Python', 'Статистический анализ', 'Прогнозирование', 'Математическая статистика', 'SQL', 'MS Excel', 'Pandas', 'Numpy', 'Jupiter'];"Кого ищем: аналитика данных /BI-analyst/ Data analyst в команду Ad-hoc отчетности.   Опыт работы: от трех лет на позиции аналитика данных.   Формат работы:   Удаленно / офис / гибрид - любой из перечисленных.   О компании:   Мы - это группа компаний К+, куда также входит компания Займиго МФК - холдинг активно растущих компаний, которые объединяют в себе несколько направлений работы: финансы и кредитование, IT продукты, глубокая аналитика, развитый маркетинг и, конечно, клиентский сервис.Наша цель - дать людям простой и быстрый доступ к деньгам в любой точке мира. Для этого мы активно разрабатываем новые инструменты и открываем проекты в других странах.Сейчас нас уже около 400 человек:- это пул команд, работающих по различным направлениям;- десятки ведущих специалистов, которые растут и развиваются внутри холдинга;- партнеры, инвесторы, консультанты, которые верят в нас и оказывают нам поддержку.11 лет опыта в сфере микрофинансирования, экспертиза в IT, возможности развития и роста, гибкие подходы к работе, выход на международные рынки - и это лишь часть того что можно рассказать о нас!   Над какими задачами будем работать:    Описывать бизнес-проблемы с помощью метрик; Формировать отчеты для бизнеса; Adhoc-отчетность по финансовым и маркетинговым показателям; Участвовать в разработке дашбордов.  Мы ждем от Вас:    Наличие навыков визуализации данных и создания наглядных отчетов и дашбордов; Умение работать с большими объемами данных и использовать методы обработки данных, такие как ETL; Знание основных принципов бизнеса и умение принимать решения на основе данных; Опыт применения методов статистического анализа; Уверенное знание языка Python для анализа больших данных; Знание SQL на уровне простых запросов, джоинов, группировок, оконных функций; Опыт работы с ключевыми библиотеками для анализа данных, такими как: Pandas, NumPy, matplot, seaborn, xlsxwriter; Высшее образование в области математики, статистики, информатики или экономики.  Будет плюсом:    Опыт работы с Superset / Power BI; Умение работать со сложными xml / json структурами; Опыт работы от 2х лет в fintech компаниях, банках, страховых, телеком.  Что мы предлагаем:    Возможность делать крутые проекты, участвовать во всех этапах деятельности аналитического отдела; 8-часовой график работы; Посещение отраслевых конференций за счет компании; Официальное трудоустройство по ТК РФ; Комплектация рабочего места по Вашим запросам; Рост ЗП согласно уровню выполняемых задач; Молодой, сплоченный коллектив, дружественный микроклимат в отделе.    Бонусы: Или почему работать у нас - это круто!  Много корпоративных мероприятий, которые может посетить каждый сотрудник! Новогодние подарки для детей, мерч компании, скидки на обучающих платформах (каждый раз придумываем что-то новенькое); ДМС со стоматологией; Не корпорация, а активно развивающаяся компания, где каждый сотрудник имеет значение; Карьерный и профессиональный рост (в нашей компании всегда есть возможность реализовать свой потенциал, пройти дополнительное обучение); Возможность влиять на экономический результат компании."
95780030;Вакансия опубликована 14 мая 2024 в Санкт-Петербурге;Маркетолог-аналитик;Главстрой Санкт-Петербург;;Требуемый опыт работы: 1–3 года;Полная занятость, полный день;;['Аналитические исследования', 'MS Excel', 'Анализ PR стратегии конкурентов', 'Подготовка презентаций', 'Маркетинговый анализ'];"Приглашаем в команду Управления продуктовым менеджментом и маркетинговыми исследованиями Маркетолога-аналитика! Мы ищем специалиста, с опытом аналитики рынка и составления планов продаж, готового погрузиться в рынок недвижимости. Для нас важно отличное знание Excel, многозадачность и желание учиться новому. Какие задачи у Маркетолога-аналитика:   Анализ рынка недвижимости (объем продаж, цены, тенденции, прогнозы);   Участие в стратегическом планировании продаж: разработка и актуализация годового бюджета;   Работа в 1С CRM (выгрузка данных и подготовка аналитики);   Анализ конкурентов (особенности продукта, цены, объем продаж);   Анализ целевой аудитории (сегментация, рекомендации по продвижению и рекламе);   Экспресс оценка земельных участков под жилое строительство (общая привлекательность для девелопмента, цены, темпы продаж);   Анализ эффективности продаж и рекламных акций;   Мониторинг и оценка качества соблюдения технологии продаж;   Подготовка презентаций в рамках выполненных отчетов;   Подготовка комментариев по рынку недвижимости для прессы.   Для нас важно:   Высшее профильное образование (маркетинг, экономика);   Опыт работы аналитиком в сферах автобизнеса и недвижимости;   MS Office, в частности хорошее знание сводных таблиц в Excel;   Желателен опыт работы с СRM-системами, с PowerBI или аналогами;   Умение работать с большими объёмами данных;   Умение составлять технические задания для подрядчиков.   У нас Вы сможете:  Прокачать свою многозадачность; Ставить высокие цели и достигать эффективных результатов.    Мы предлагаем:  Работу в светлом и просторном офисе на ст.м. Старая деревня (5-10 минут пешком от метро); Оформление по ТК РФ, социальные гарантии и полностью белую заработную плату. Уровень заработной платы обсуждается индивидуально после общения с Руководителем; Возможность профессионального развития и карьерного роста, 100% оплата обучения для повышения квалификации; ДМС со стоматологией сразу после успешного прохождения испытательного срока; Доступ к корпоративной библиотеке, сервису РБК PRO+; Компенсацию мобильной связи; Корпоративные и общегородские спортивные мероприятия (Петровский гребной марафон, ЗаБег.РФ, Футбол, Пляжный волейбол и др.)."
