id;date;name;company;salary;experience;schedule;schedule_dop;key;description
98308433;Вакансия опубликована 30 мая 2024 в Санкт-Петербурге;Бизнес-аналитик 1С;ПАО «Газпром нефть» ;;Требуемый опыт работы: не требуется;Полная занятость, полный день;;['Управление проектами', 'Разработка технических заданий', 'MS Visio', 'Постановка задач разработчикам'];Мы – команда «Газпромнефть – Цифровые решения», часть ИТ-функции «Газпром нефти». Команда, которая научила нейросети находить нефть, запустила первую в мире цифровую систему управления арктической логистикой и первой в мире заправила самолет по блокчейн. Мы переводим в «цифру» каждый этап работы современного нефтяника: от геологической разведки и бурения скважин до процесса переработки нефти и момента, когда она в виде топлива попадает в баки автомобиля, самолета или, например, становится битумом для строительства дорог. Активы «Газпром нефти» – это сотни петабайт данных, которые генерируют объекты компании в России и за рубежом. Нас вдохновляет идея развития цифрового будущего нефтегазовой отрасли и промышленности в целом. Мы стремимся к большему, и нам нужен сильный Бизнес-аналитик 1С. Чем предстоит заниматься:  Сбором и структурированием запросов пользователей Детализацией и формализацией бизнес-требований Описанием бизнес-процессов с использованием общепринятых нотаций и средств моделирования Участвовать в проектах внедрения систем на платформе 1С полного цикла Постановкой технических заданий на реализацию доработок по запросам на изменение систем на платформе 1С Проработкой вариантов решения задач пользователей с точки зрения методологии учета в системе Анализировать и устранять инциденты эксплуатации систем, разработка мероприятий по устранению Участвовать в тестировании новой функциональности систем, выявление ошибок и замечаний Консультировать и обучать пользователей по вопросам работы с системами на платформе 1С Подготовкой технической документации по выполненным в системе доработкам Разработкой проектной документации и пользовательских инструкций  Мы ожидаем, что ты:  Обладаешь знанием нотаций описания бизнес-процессов Понимаешь процесс моделирования требований пользователей Понимаешь как устроена интеграция между системами (например SAP и 1С) Обладаешь знанием конфигураций 1С УПП, 1С ERP на уровне уверенного пользователя Обладаешь знанием методик и инструментов тестирования функциональности систем Обладаешь знанием методик проведения обучения пользователей и разработки пользовательских инструкций Понимаешь отличия ТЗ от ТП Обладаешь знанием принципов работы ролевой модели систем на платформе 1С Обладаешь знанием специфики работы технологической платформы 1С:Предприятие  Будет преимуществом наличие сертификатов 1С Мы предлагаем:  Достойную твоего профессионального уровня заработную плату (уровень вознаграждения обсуждается индивидуально по результатам интервью) Годовую премию по результатам деятельности, дополнительную материальную мотивацию (премии от руководителя) Качественную программу ДМС со стоматологией с первого месяца работы Неограниченный доступ к образовательному контенту на портале знаний от корпоративного университета Подписка на лучшие электронные библиотеки с подборками IT-литературы (и не только) Собственный центр профессионального развития, в котором проводятся комплексные программы обучения hard skills Внутренние демодни, коуч-дни, питчи – то, что поможет продвигать и совершенствовать проекты и собственные идеи Корпоративные скидки для изучения английского языка в малых группах онлайн и офлайн Регулярные карьерные марафоны, индивидуальные карьерные консультации и планы развития   Общение вне рабочих рамок – независимо от того, в каком городе ты работаешь! От участия в корпоративных спортивных сообществах до онлайн-экскурсий и неформальных встреч в формате Random coffee  В «Газпром нефть» ты можешь:  Получить уникальный профессиональный опыт Создавать смелые проекты с нуля и наблюдать за их влиянием на целую отрасль Быть вместе с теми, кого вдохновляют сверхсложные задачи Сочетать несколько ролей, быть частью нескольких команд или участвовать в кросс-функциональных командах Использовать возможности компании-лидера для своей самореализации и убедиться, что любой профессиональный опыт важен Быть среди тех, кто создает первую в России цифровую платформу для управления промышленной компанией нового поколения
100306486;Вакансия опубликована 27 мая 2024 в Санкт-Петербурге;Аналитик в управление IT;АО Невский экологический оператор;;Требуемый опыт работы: 1–3 года;Полная занятость, полный день;;['BPMN', 'MS Excel', 'Документооборот', 'Грамотная речь', 'Аналитика'];"АО ""Невский экологический оператор"" приглашает на должность Аналитика в Управление по информационным технологиям. Обязанности:  Сбор и анализ требований от Заказчика; Формирование функциональных требований в техническое задание; Взаимодействие с Заказчиком и контрагентами; Контроль исполнения запросов на изменения по потребностям Заказчика.  Требования:  Способность работать с большим объемом данных, собираемых из различных источников; Аналитический склад ума (поиск и анализ решений нестандартных задач); Умение отстаивать и аргументировать свои решения для выполнения поставленных задач; Уверенный пользователь ПК: хорошее знание офисного ПО (Word, Excel), знание платформы «1С:Предприятие», опыт работы с отечественными ОС (Astra Linux) и участие в проектах внедрения СЭД\BPM будут для Вас преимуществом; Навыки разработки локально-нормативных актов, регламентов, инструкций; Наличие высшего образования.  Условия:  Интересную работу в современной высокотехнологичной отрасли, которая в России сегодня находится в самом начале своего развития! Работу в дружном коллективе профессионалов. График работы: пятидневная рабочая неделя (понедельник - четверг с 09.00 до 18.00, пятница с 09.00 до 17.00, перерыв на обед с 13.00 до 13.48). Уровень дохода готовы обсуждать с финальным кандидатом. Система вознаграждения: оклад + индивидуальная стимулирующая надбавка, годовая премия по итогам выполнения KPI. Добровольное медицинское страхование работников (через 6 месяцев после трудоустройства). Трудоустройство в соответствии с ТК РФ, официальная заработная плата. Офис Компании находится в районе ст.м. Площадь Ленина."
99015584;Вакансия опубликована 15 мая 2024 в Санкт-Петербурге;Старший менеджер WILDBERRIES (Одежда);HR Management Centre;;Требуемый опыт работы: 1–3 года;Полная занятость, полный день;;[];"Цель работы на должности: Продвижение товара. Обязанности:  Реализация плана продаж, установленного руководством компании на месяц; Продвижение товара в наличии (организация и настройка рекламной кампании, участие в акциях, организация внешней рекламы); Организация продвижения нового товара (выстраивание стратегии продвижения, организация плана поставок); формирование новой карточки по новому товару (оформление в соответствии с анализом конкурентов, статистики MPStats, статистики внутри WB); Заполнение SEO; Формирование ТЗ на фотоссесию; Контроль всех показателей; Работа с аналитикой.  Требования: Опыт от 1 года на маркетплейсах с опытом самостоятельного принятия решений по стратегии продвижения товара;  Обучение на курсах WB; Желательно техническое образование; Умение видеть причинно-следственные связи и управлять воронкой продаж.  Личные качества:  Системность; Аналитический склад ума; Упорядоченность.  Условия:  Гибкий (условная пятидневка), удаленный формат работы; Организация рабочего дня самостоятельно под себя (главное быть на связи); Заработная плата: От 80 000 руб. (совокупная до 150 000 руб.).  Преимущества трудоустройства:  Возможность профессионального роста внутри небольшой комфортной команды; Возможность перенять опыт руководителя, являющегося экспертом по продвижению на WB; Возможность выстраивать новый крутой бренд."
99839061;Вакансия опубликована 27 мая 2024 в Санкт-Петербурге;BI Аналитик;CSBI;;Требуемый опыт работы: 1–3 года;Полная занятость, полный день;;['Power BI', 'dashboards', 'reports', 'BI-системы', 'ORACLE', 'PostgreSQL', 'MS SQL', 'sql запросы', 'анализ функциональных требований'];Компания CSBI – российская аккредитованная ИТ компания с 30-ти летней историей. Мы зарекомендовали себя как команда профессионалов в реализации сложных комплексных проектов, требующих индивидуального подхода и глубокой экспертизы. Сейчас мы в поиске BI аналитика на направление WF Core - low-code платформа для быстрого построения корпоративных систем и бизнес-приложений.   Обязанности:   Анализ и сбор функциональных требований с учетом возможностей реализации на используемой платформе.   Разработка и формирование аналитических отчетов и рабочих панелей мониторинга с использованием BI-инструментов.   Построение витрин данных для создания отчетности и дашбордов.   Обучение ключевых категорий пользователей заказчика.   Требования:   Опыт разработки панелей мониторинга и отчетности разного уровня вложенности с использованием конструкторов BI.   Глубокие знания и опыт работы с Oracle, Postgresql, MS SQL.   Навыки разработки SQL запросов и процедур.   Знание принципов проектирования и построения витрин данных.   Умение документировать процессы и результаты работы.   Опыт работы с одним из инструментов: Tableau, QlikView, MS Power BI, Apache Superset, Stimulsoft Dashboards/Reports.   Знание теоретических основ построения БД (измерения, факты, витрины, преобразования, модель данных).   Желательно:   Опыт администрирования BI-систем.   Опыт работы с OLAP-кубами и разработки ETL процессов.   Опыт автоматизации бизнес-областей на базе CRM / BPM платформ.   Опыт описания логики на нативной, навыки работы с переменными на JavaScript (es6).   Условия:  Работа в офисе в Санкт-Петербурге.  График работы 5/2, 39 рабочих часов в неделю (рабочий день в пятницу сокращен до 17:00).   Официальное трудоустройство: белая зарплата стабильно и в срок.   ДМС после испытательного срока.   Корпоративное обучение.  Возможность участия во всех государственных программах поддержки IT-отрасли, включая льготную ипотеку. Наша компания аккредитована в реестре МинЦифры и наши решения включены в Реестре отечественного ПО.  Команда, в которой приятно работать.
94511187;Вакансия опубликована 10 мая 2024 в Санкт-Петербурге;Ведущий аналитик 1С ERP, оперконтур, Удаленно;ООО Райтек;от 200 000 ₽ на руки;Требуемый опыт работы: 1–3 года;Полная занятость, удаленная работа;Возможно временное оформление: договор услуг, подряда, ГПХ, самозанятые, ИП;[];"""Райтек"" – системный интегратор для автоматизации промышленного производства. 100% наших Заказчиков производственные предприятия различных отраслей. Наши услуги востребованы как у предприятий дискретного и процессного, так и гибридного типов производства. Сфера наших компетенций - формирование комплексного ИТ-ландшафта предприятий Заказчиков на базе программных продуктов компаний 1С, Интермех, Datareon, Novo BI. Основа успеха нашей компании — опыт и профессионализм специалистов. Сегодня в нашей команде уже более 400 специалистов! Если Вы хотите присоединиться к нам - оставьте свой отклик и мы с Вами свяжемся! Ключевые задачи: - Участие в крупных проектах внедрения 1С:ERP в разбивке по контурам: производственный учет, оперативный учет (склады, закупки, продажи), финансовый контур (регламентированный учет, бюджетирование, казначейство, себестоимость, МСФО) - Сбор и формализация требований бизнес-подразделений; анализ бизнес-процессов компании - Разработка проектной документации - Участие в выработке проектных решений по настройке и доработке системы планирования производства 1С:ERP 2 - Согласование проектных решений с Заказчиком - Подготовка ТЗ программистам с последующим контролем их выполнения - Моделирование, тестирование и сдача работ клиентам Вашим преимуществом будет: - Опыт работы с конфигурациями 1С: ЕРП, БитФинанс, УХ - Опыт работы с производственными предприятиями в качестве сотрудника производственных систем, сотрудника проектной команды внедрения ИТ-систем, сотрудника службы качества - Владение методологией сбора и анализа требований к автоматизации бизнес-процессов производственной компании - Владение методологией моделирования бизнес-процессов производственной компании, составления ТЗ Условия оформления: - Оформление строго по ТК РФ - Высокий оклад, + премия по результатам работы - Удаленная работа - Пятидневная рабочая неделя с 9 до 18 (возможно гибкое начало и окончание рабочего дня) - Командировки в среднем от 2-х до 7-ми дней в месяц, не каждый месяц - Предоставляем технику; программа ДМС после полугода работы; программа стоматология подключается через 2 года; дружественная среда и экспертное сообщество, сотрудники активно общаются внутри в профессиональных чатах - Обучение и повышение квалификации за счет Компании - Компания входит в список аккредитованных ИТ организаций Работая у Нас Вы получите:   Масштабные и интересные проекты автоматизации Крупнейших предприятий России.   Колоссальный опыт работы только с топовыми отраслевыми продуктами - 1С:ERP и 1С:УХ.   100%-ю загрузку на проектах внедрения полного цикла и возможность увидеть реальные результаты своей работы.   Уникальную возможность постоянно повышать свой профессиональный уровень участвуя в проектах внедрения с лучшими специалистами своей области.   Возможность работать в команде, где Ваше мнение имеет значение, а Ваш профессиональный рост - является приоритетом!"
97308830;Вакансия опубликована 17 мая 2024 в Санкт-Петербурге;Аналитик / Консультант (1С WMS);КОРУС Консалтинг;;Требуемый опыт работы: 1–3 года;Полная занятость, полный день;;['WMS', 'Моделирование бизнес процессов', 'Проектная документация'];"Мы входим в топ-5 крупнейших IT компаний Петербурга. Мы сделали более 1500 масштабных проектов для ведущих компаний России, а именно: Bonava, DPD, Nokian Tyres, Tele2, Азбука Вкуса, Газпром нефть, Дикси, Инвитро, Леруа Мерлен, Магнит, Мегафон, О’КЕЙ, Петрович, Росатом, Яндекс.Деньги и это только начало списка. В одном из направлений нашей работы - в логистике, мы оптимизируем и автоматизируем складские бизнес-процессы, занимаемся внедрением WMS под ключ, осуществляем поддержку в подборе оборудования и роботизации. Более 15 лет помогаем крупнейшим представителям рынка ритейла, дистрибуции, производствам и логистическим операторам строить современную логистику на основе цифровых продуктов. В связи со стартом новых проектов мы хотели усилить команду проектирования и внедрения систем автоматизации складской деятельности Аналитиком. Задачи, с которыми предстоит работать:  Анализ и моделирование процессов складской деятельности; Разработка проектной документации; Настройка системы, проработка необходимых модификаций и доработок, постановка задач на разработку, тестирование; Проведение тренингов, поддержка самостоятельной работы пользователей;  Нам важны:  Приветствуется опыт и участие в проектах автоматизации логистики; Знание и опыт работы с системами класса WMS;  Активная позиция, желание самосовершенствоваться и самообучаться, позитивный взгляд на трудности и сложности;   Готовность к командировкам.   Мы предлагаем:   Официальное оформление в штат компании;   Заработная плата обсуждается по итогам собеседования. Знаем рынок, готовы обсуждать индивидуально;   Гибкое начало рабочего дня, возможность работать удалённо;   Минимум бюрократии и отчётов, а совещания только по необходимости и с чёткой программой;   Корпоративный университет, менторство и развитие;   Полис ДМС.     Будем рады обсудить сотрудничество!"
95069989;Вакансия опубликована 16 мая 2024 в Санкт-Петербурге;Junior Web - аналитик;Петрович, Строительный Торговый Дом;от 70 000 до 100 000 ₽ на руки;Требуемый опыт работы: 1–3 года;Полная занятость, полный день;;['Системное мышление', 'Python', 'SQL', 'Pandas', 'Google Tag Manager', 'Яндекс.Метрика', 'Контекстная реклама', 'WEB аналитика', 'Clickhouse', 'A/B тесты'];"Ваши обязанности:  Настройка и проверка событий на сайте через GTM и разработчиков; Построение отчетов из Clickhouse и/или Яндекс Метрики; Написание скриптов на Python для ETL данных сторонних систем; Подготовка и проведение A/B тестов web и app; Освоение новых инструментов для решения задач и их внедрение в свою работу и работу коллег.  Наши ожидания:  Знание SQL, Python, Pandas; Опыт работы в Google Tag Manager, Яндекс Метрика; Понимание как работает контекстная реклама; Понимание принципов построения сквозной аналитики; Знание GTM server side будет преимуществом; Желание развиваться, активность и внимательность.  Мы предлагаем:  Работу в крупной, развивающейся компании, ставящей перед собой амбициозные цели; Возможность профессионального роста по результатам работы; Сильную, профессиональную команду и интересную корпоративную культуру; Оформление согласно ТК РФ, социальный пакет, полностью белую заработную плату; График работы 5/2 с 09:00-18:00 или 08:00-17:00; Полис ДМС через 3 месяца, ДМС + стоматология через год; Стильный и современный офис класса А, расположенный в пешей доступности от станции метро «Беговая».  Благодарим вас за проявленный интерес к нашей компании и вакансии!После отклика на вакансию, вы можете получить небольшое тестовое задание, которое поможет нам оценить ваши навыки и потенциал для прохождения на следующий этап отбора."
100847949;Вакансия опубликована 31 мая 2024 в Санкт-Петербурге;Консультант 1С (1С: ТЛЭ+УАТ);IBS;;Требуемый опыт работы: 1–3 года;Полная занятость, удаленная работа;;['1С ТЛЭ'];"Обязанности:  проведение интервью с Заказчиком; анализ неструктурированной информации, ведение переговоров; разработка методологии ведения учета автотранспорта в программных продуктах на базе платформы 1С: Предприятие 8 (1С ТЛЭ+УАТ Корп, 1С УАТ Проф, 1С ТМС), SAP TM; взаимодействие с другими структурными подразделениями при решении вопросов в части автоматизации процессов ведения учета автотранспорта; написание технической документации (технических заданий, функциональныхтребований к системам, схем бизнес-процессов); подготовка технических заданий для программистов, тестирование выполненных доработок программных продуктов; сдача результатов работ Заказчику; доведение информации о новом функционале до пользователей, их обучение, составление инструкций; консультирование и поддержка пользователей; контроль исполнения задач по проекту (контроль качества, контроль сроков, приоритезация задач, распределение задач между разработчиками).  Требования:  опыт внедрения (систем 1С ТЛЭ+УАТ, TMS) в качестве консультанта-аналитика; опыт интервьюирования Заказчиков, навыки анализа неструктурированной информации, навыки ведения переговоров; опыт в функциональных областях складской и транспортной логистики, различными видами транспорта (ЖД, АВТО, МОРЕ); участие в проектах по внедрению систем 1С (ТЛЭ+УАТ, TMS).  Условия:  оформление по ТК РФ с первого дня и все социальные гарантии; белая заработная плата; пятидневная рабочая неделя с восьмичасовым рабочим днём; работа в нашей аккредитованной ИТ-компании позволит оформить льготную ипотеку; офисный, гибридный или удалённый формат работы; комфортные офисы в городах нашего присутствия: с зонами для работы, переговорными комнатами, отдельными зонами отдыха и развлечения, спортивными уголками; ДМС со стоматологией после испытательного срока. Также можно оформить ДМС на детей, родственников, оформить онкострахование и другие виды страховки; для работы предоставляем ноутбук, наушники, мышь, при необходимости – и другую технику; условия для карьерного роста и программы профессионального развития; оплачиваемое профессиональное обучение и сертификация; дополнительные дни отсутствия по личным обстоятельствам с сохранением заработной платы; организуем митапы от наших ИТ-разработчиков по самым разным тематикам; бонусы и бенефиты для наших сотрудников: подарки для детей, оплату мобильной связи, конкурсы и квизы с призами, скидки у корпоративных партнёров, покупка мерча за виртуальную игровую валюту; неформальные мероприятия, интеллектуальные игры, спортивные клубы, собственная Киберлига, возможность заниматься волонтерской деятельностью и благотворительностью, творческие вечера.  У нас вы сможете:  быстро расти, набираться новых знаний и навыков; работать и общаться с профессионалами; участвовать в цифровизации процессов многих компаний; создавать новые инструменты и продукты; делиться своими знаниями с другими и чувствовать себя значимым!  Здесь ты имеешь значение. Мечтай, думай, создавай в IBS!"
94884544;Вакансия опубликована 16 мая 2024 в Санкт-Петербурге;Data engineer (Middle/Senior);ООО Тагес Джамп;от 106 000 до 300 000 ₽ на руки;Требуемый опыт работы: 1–3 года;Полная занятость, полный день;;['SQL', 'BI', 'Аналитика', 'Аналитика данных', 'Анализ данных', 'ETL', 'PostgreSQL', 'Python', 'Аналитическое мышление', 'Data Analysis', 'Git', 'R', 'superset'];"TAGES работает на рынке IT с 2012 года. Компания занимается проектированием, разработкой и поддержкой digital-решений для автоматизации бизнеса. Мы предоставляем своим клиентам полный цикл разработки программного обеспечения с использованием индивидуальных бизнес-решений и актуальных технологий. Компания TAGES начинала с e-com разработки и автоматизации процессов, но на данный момент мы оказываем услуги в области сложных кастомных разработок для крупных российских компаний, таких как Леруа Мерлен, Технониколь, М.Видео, Сбербанк, Альфа-банк, Яндекс.Лавка и др. Мы интегрируем свою инжиниринговую команду в бизнес заказчика, чтобы на выходе предложить ему оптимальное решение на основе существующих платформ и собственных разработок. Наша команда инженеров, аналитиков, руководителей проектов, UI/UX- и QA-специалистов TAGES осуществляет экспертизу в области автоматизации бизнес-процессов для совершенно разных отраслей. Компания представлена в четырех городах и двух странах.С 15.06.2020 г. компания состоит в Реестре Аккредитации №11563. Должностные обязанности:  Работа над полным циклом задач BI (в основном Apache Superset) ; Сбор, анализ и формализация требований для построения дашбордов (программно-проектное управление, производственные процессы, финансовые и ресурсные аналитики); Разработка отчётов и дашбордов в BI по запросам от заказчиков; Анализ и оптимизация текущих дашбордов и отчетов в BI, их поддержка; Работа с базами данных SQL: выгрузка данных из базы SQL, создание витрин и моделей для проектов в BI, получение данных по API, обработка ETL, анализ и визуализация через BI-системы и др.отчеты; Подготовка отчетов и презентаций для передачи владельцам бизнеса.  Требования:   Владение инструментами BI-аналитики;   Уверенное владение Python, SQL ( или любым языком программирования);   Аналитический склад ума, умение видеть физический смысл за цифрами и данными;   Опыт статистического анализа - выборки данных, регрессионный и факторный анализ;   Опыт работы с большими объёмами данных;  Письменный ""технический"" английский.  Для нас важно, чтобы вы приходили с утра на работу с радостью и чувствовали себя, как дома. Поэтому в наших офисах мы сделали все возможное, чтобы сотрудники чувствовали нашу поддержку и заботу. Мы предлагаем:   Просторные и комфортные офисы в четырех городах и возможность командировок и релокации с удобным графиком работы;   Уютную кухню с кофеваркой, чаем и вкусностями и бесплатные обеды;   Официальную и конкурентную заработную плату (по результатам собеседования) и оформление согласно ТК РФ;   Использование в работе передовых технологий;   Известные клиенты и интересные задачи;   Библиотеку с интересной и актуальной литературой;   Субсидирование обучения, участие в профильных конференциях как слушатель;   Сопровождение и подготовка спикеров на внешние конференции;   Два больших корпоратива в год (Конференция TAGES и Новый год);   Внутренние MeetUps и Talks (онлайн и оффлайн);   Дружную команду #TAGESTEAM и человекоориентированную корпоративную культуру."
100465239;Вакансия опубликована 28 мая 2024 в Санкт-Петербурге;Маркетолог-аналитик;ООО Топливные системы;;Требуемый опыт работы: 1–3 года;Полная занятость, удаленная работа;;[];"Производственная компания ООО ""Топливные системы"" Приглашает к сотрудничеству Маркетолога-аналитика! Обязанности:  Анализ динамики продаж продукции (компонентный анализ производимых изделий); Анализ товарного портфеля рынка B2B; Контроль эффективности маркетинговых затрат; Контроль выполнения маркетингового бюджета; Анализ выполнения бюджета продаж и маржи; Формирование маркетинговых отчетов; Сбор, подготовка и обработка маркетинговой информации, ценовых мониторингов; Подготовка бюджета продаж компании и маркетинговых расходов  Требования:  Высшее образование в области маркетинга/экономики/менеджмента; Опыт работы от 0,5 года в должности маркетолога-аналитика/однофункциональной должности; Знание теоретических и практических основ менеджмента, рекламы и PR; Знание методик и инструментов проведения внутреннего и внешнего анализа маркетинговой информации; Знание принципов и механики бюджетирования (продаж и маркетинга); Владение ПК на уровне продвинутого пользователя программ MS Power Рoint, Project, Excel, и SPSS;  Условия:  Оформление по ТК РФ; Своевременная выплата заработной платы; График работы: удаленный формат, 5/2, с пн.-чт. с 9.00- 17.45, пятница сокращенный день до 16.45; Медицинская страховка ( ДМС); Работа в дружном и профессиональном коллективе; Прохождение испытательного срока с Программой введения в должность, которая поможет войти в должность плавно и с чётким пониманием процесса работы в компании и Дирекции по маркетингу! Ждем Вас в нашу дружную и профессиональную команду!"
