;link;id;name;company;salary;experience;schedule;schedule_dop;key;description
0;https://hh.ru/vacancy/99819725;99819725;Junior Data Analyst;Valiotti Analytics;;Требуемый опыт работы: 1–3 года;Полная занятость, удаленная работа;;['SQL', 'Python', 'Английский язык', 'Анализ данных', 'Tableau', 'Аналитическое мышление', 'Работа с большим объемом информации', 'Базы данных', 'BI', 'Английский\xa0— B2 — Средне-продвинутый'];"Компания Valiotti Analytics стартовала в 2019 году, работаем в области аналитики данных. Наша компания консультирует и строит аналитику и процессы инжиниринга данных для digital компаний из США, Европы и России.Мы регулярно расширяем команду и сейчас ищем джуниор дата-аналитика.  Позиция предполагает удаленную работу в области анализа данных и построения отчетности.  У нас гибкий график и проекты из разных индустрий. Вы сможете эффективно применить Ваши знания в области data analytics и получить новый ценный опыт. Чем предстоит заниматься:   Построение ad-hoc отчетности с использованием языка SQL   Построение выборок из баз данных c использованием SQL;   Разработка дашбордов на фреймворке dash / plotly;   Разработка отчетов в BI-системах: Tableau, Redash, Superset, PowerBI;   Построение дашбордов и систем мониторинга;   Построение отчетов с использованием Python (pandas, numpy, matplotlib, plotly)   Необходимые скиллы:   Владение SQL (проверяем на тестах);   Способность анализировать.   Внимательность к деталям и аккуратность   Самоорганизация и эффективное планирование;   Владение английским языком B2 и выше;   Готовность работать в условиях строгих дедлайнов и быстро обучаться;   Высшее техническое образование, отличные знания мат.статистики   опыт работы с SQL   опыт работы с Python   Условия:  Онбординг и наставничество от опытного дата-аналитика  Работа на полный рабочий день;   Оплачиваемый отпуск и больничные;   Отсутствие бюрократии и свобода принятия решений;   Крутейшая современная команда профессионалов;   Корпоративный английский язык;   Удаленная работа из любой точки мира   Если Вы прочитали описание позиции, в сопроводительном письме напишите, пожалуйста, чем Вас заинтересовала наша вакансия и готовы ли вы выполнить тестовое задание."
1;https://hh.ru/vacancy/97742610;97742610;Data Engineer (Единый профиль клиента);Сбер для экспертов;;Требуемый опыт работы: 1–3 года;Полная занятость, полный день;;[];Создаем витрины для улучшения клиентского опыта, поиска и устранения проблем в персональных данных клиентов и многого другого. Единый профиль клиента создан для того, чтобы агрегировать, систематизировать и распространять информацию по клиентам внутри Банка и Экосистемы, чтобы иметь возможность быстро строить гибкие, удобные и востребованные для клиента решения. Наша цель – предоставить пользователям надежные, высокодоступные и масштабируемые сервисы, используя самый современный технологический стек. Кроме получения опыта разработки и экспертизы в используемом стеке, вы сможете поучаствовать в развитии сложной и требовательной к показателям производительности и доступности системы, в том числе, в таких масштабных мероприятиях, как обеспечение горизонтального масштабирование, перевод в облачную инфраструктуру, усовершенствовать свои навыки в оптимизации производительности и проработке архитектуры разных калибров. Стек: SQL, Spark, Jupyter notebook, Hadoop , Hive, GreenPlum, Intellij Idea, GIT, Jira   Мы ищем в нашу команду дата-инженера, который будет помогать нам:  анализировать требования бизнеса по получению новых данных, оценивать наличие данных, сложности, риски проектировать и разрабатывать аналитические витрины данных в рамках корпоративной аналитической платформы на базе современных решений по хранению данных, таких как Hadoop и Greenplum оптимизировать SQL запросы в рамках разрабатываемых прототипов тестировать ETL и выявлять баги при построении дата-продуктов участвовать совместно с владельцем продукта в процессе приемки витрин данных заказчиками развивать экспертизу по вопросам работы с данными внутри команды обеспечивать доступность, контроль качества и целостность данных.    Мы ожидаем от кандидата:  опыт работы в роли DE/DA от 1 года отличное знания SQL (вложенные запросы, оконные функции, регулярные выражения, CTE) и опыт работы с MPP СУБД как плюс опыт работы с альтернативными хранилищами и инструментами работы с данными (Spark + Hadoop и пр.) знание основных понятий и концепций из области DWH знание инструментов DevOps (Git, Nexus, Jenkins, SonarQube), любые IDE как плюс опыт работы с языками программирования (Scala, Java, Python) умение работать с большим количеством источников данных.  Мы предлагаем:  Достойная заработная плата, премия по итогам года Страхование жизни и здоровья для сотрудников (ДМС) и скидки на медицинскую страховку для родственников Гибкий график для оптимального баланса работы и личной жизни, смешанный режим работы по договоренности Обеспечение необходимым оборудованием для продуктивной работы Возможность самостоятельного выбора необходимых технологий Возможность привнести своё видение в проект Профессиональный и дружный коллектив, готовый принимать и считаться с любой точкой зрения Возможность обучаться за счет компании, посещать конференции по профессиональной тематике Льготное кредитование в Сбербанке – возможность пользоваться премиальными продуктами Банка на специальных условиях (в т.ч. по ипотечным программам) Корпоративная пенсионная программа, основанная на паритетном участии сотрудника и Банка, которая даёт возможность удвоить добровольные пенсионные накопления и получать двойной инвестиционный доход Широкий спектр дисконт-программ, скидок и привилегий от компаний-партнёров Корпоративные подарки для детей Корпоративные и благотворительные мероприятия («Зелёный марафон», Сбербанкиада, КВН, волонтёрские программы и т.д.) Свободный dress code.   					Сбер для IT  				  							цифровых людей  						  							внедрений в год,изменения каждые 30 сек объем хранимыхданных  						  							транзакцийв секунду  						  							доступк суперкомпьютеру  						  					ПАО Сбербанк  представляет бренд Сбер
2;https://hh.ru/vacancy/98586840;98586840;Data Strategy Analyst;Axenix (ранее Accenture);;Требуемый опыт работы: не требуется;Полная занятость, полный день;;[];Компания Axenix (ранее Accenture) продолжает работу на российском рынке и аккумулирует 30-ти летний консалтинговый опыт внедрения инновационных решений.Наша экспертиза - стратегия и консалтинг, технологии и операции, направленные на цифровизацию бизнеса. В своей деятельности мы сочетаем обширные знания, опыт в различных отраслях и глубокое понимание специфики и возможностей российского бизнеса. Офисы компании находятся в Москве, Твери и Ростове-на-Дону, Алматы и Ереване.Помимо этого, у нас есть команды в Санкт-Петербурге, Краснодаре и Воронеже, а также сотрудники, работающие удаленно из разных регионов.Обязанности:  Помощь в предоставлении стратегических консультаций и реализации проектов по трансформации бизнеса с помощью инновационных процессов и решений в области данных и искусственного интеллекта (ключевые индустрии – телеком, IT, гос сектор) Проведение исследований рынка больших данных и искусственного интеллекта, стратегических подходов к регулированию сферы и подходов к управлению данными и монетизации данных в различных странах и индустриях Участие в разработке, расчете и защите коммерческих предложений для клиентов Сбор, анализ и формализация требований от бизнеса в части стратегии данных и аналитики / дата-ёмких бизнес-кейсов / инструментов управления данными Оценка текущего состояния функции данных и аналитики с использованием общепризнанных мировых подходов (DAMA, DCAM, и пр.), формулировка целевого состояние, проработка карты инициатив по достижению целевого состояния совместно с представителями клиента Проведение детального анализа данных в предметной области клиента с использованием внутренних и внешних источников информации, контентное наполнение и актуализация бизнес-глоссария/ каталога данных Помощь в создании и поддержании систем управления данными, участие в планировании и разработке стратегии клиента, разработке и преобразовании корпоративных процессов, составлении планов, концепций высокоуровневой архитектуры в области Data & AI Разработка технической документации решений, оформление результатов исследований, разработанных стратегий и сопроводительных исследований в презентационные материалы  Требования:  Фундаментальное понимание аналитики данных, искусственного интеллекта и разработки стратегии и стремление развивать карьеру в сфере консалтинга Высшее образование одного из ведущих университетов, предпочтительно – технические (Информационные технологии, Прикладная математика, и пр.) или бизнес-специальности (Бизнес-информатика, Экономика, и пр.) Практический опыт работы в сфере анализа данных, управления данными, бизнес-исследований, консалтинге и других смежных областях Знание основ методологии управления данными, мировых подходов к управлению данными (DAMA, DCAM, и пр.) Продвинутый уровень владения PowerPoint и Excel Знание английского языка – от B1 и выше  Тебе будет у нас интересно, если ты: Нестандартно мыслишь Умеешь экспериментировать Готов убеждать и отстаивать свою точку зрения Не боишься предлагать и продвигать новые решения Готов эффективно работать в среде многообразия опыта и культур Импровизируешь и быстро приспосабливаешься к изменениям Ориентирован на личный и командный успех Хочешь создавать эффективную рабочую среду и вдохновлять команду на достижение высоких результатов Мы предлагаем:  Конкурентоспособный уровень дохода и регулярное повышение по результатам Performance Review Гибридный график работы ДМС с первого дня работы, включая стоматологию, для сотрудника и его семьи Дополнительные 5 дней оплачиваемого отпуска в год Ежемесячная денежная компенсация на питание/содержание автомобиля Программа корпоративных привилегий PrimeZone (более 1000 ведущих поставщиков продуктов и услуг) Возможность обучения и сертификации за счет компании Спортивные и развлекательные мероприятия за счет компании Корпоративная техника.
3;https://hh.ru/vacancy/96242363;96242363;Ведущий консультант аналитик 1C;Assino, Группа компаний;;Требуемый опыт работы: 1–3 года;Полная занятость, удаленная работа;;['1С: Предприятие 8', 'Бизнес-анализ', 'ERP-системы на базе 1С', 'Оптимизация бизнес-процессов', 'Описание бизнес-процессов', 'Информационные технологии', 'Грамотная речь'];"О компании: assino – глобальная консалтинговая компания, эксперты рынка автоматизации отечественного корпоративного бизнеса в России. Уже более 20 лет мы применяем лучшие практики миграции на локальные решения, внедряем и интегрируем корпоративные системы, используя уникальный опыт сотрудничества с ведущими вендорами ERP. assino – это опыт консалтинга и реализации более 200 проектов с лидерами глобального и российского рынка: Siemens, Porsche, Shell, Лукойл, Tarkett. Наша проектная технология, созданная из лучших мировых практик автоматизации бизнеса с использованием методологий Agile, Waterfall и ТБР, а также грамотное управление рисками гарантирует полное завершение проекта в срок и в рамках бюджета. В предоставлении сервиса мы руководствуемся практиками ITIL, что подтверждает международный стандарт ISO 9001:2015 и ежегодное прохождение внешних аудитов. assino – это команда свыше 300 высококвалифицированных специалистов, выпускников МГТУ им. Баумана, МФТИ, СПбГУ, Университета ИТМО и других ведущих вузов России. Проектная команда постоянно совершенствуют свои ключевые навыки благодаря разнообразию задач в крупных корпоративных проектах. Помимо этого, важной составляющей миссии assino является обучение и развитие всех сотрудников за счет индивидуального карьерного плана и профессионального наставничества. Основные задачи:  Участие в крупных долгосрочных проектах по автоматизации международных предприятий на базе семейства программных продуктов 1С в роли консультанта-аналитика 1С; Участие в предпроектных работах:    Проведение анализа бизнес-процессов и особенностей учета клиента, совместно с ведущим консультантом;   Согласование требований по процессам клиента в рамках проекта.   Подготовка презентаций программного продукта;   Участие в подготовке технико-коммерческих предложений;   3. Участие в процессе автоматизации учета:   Помощь в разработке концепции внедрения;   Подготовка и ведение документации согласно проектной технологии компании;   Составление технического задания разработчикам;   Финальное тестирование доработок;   Обучение пользователей;   Участие в презентации финального продукта клиенту.   Требования:  Высшее экономическое или техническое образование; Опыт работы в типовых конфигурациях 1С; Способность к быстрой адаптации и обучению; Знание не менее одной предметной области (производственный учет, торгово-складской учет, расчет зарплаты и кадровый учет, бухгалтерский и налоговый учет, бюджетирование, казначейство и т.д.)  Вашими преимуществами будут:  Наличие сертификатов фирмы 1С; Владение английским/немецким языками.  Мы предлагаем:  Официальное трудоустройство. Возможность пополнить свой портфель проектов крупными международными заказчиками; Реальную возможность профессионального и карьерного роста до Руководителя группы консультантов 1С или Руководителя проектов (внутреннее и внешнее обучение за счет компании, в том числе по линии сертификации 1С); Работу в стабильной, динамично развивающейся международной компании, которая за 20 лет работы на российском рынке успешно развивалась, в том числе в кризисные периоды; Участие в сложных и интересных международных ERP-проектах; Корпоративная связь и ноутбук; Возможность зарубежных командировок; Программу помощи при переезде иногородним сотрудникам; Комфортный офис, гибкий график, возможность удаленной работы.  Работа в условиях пандемии: Наши современные редундантные дата-центры, размещенные в Германии и в России, позволяют нам временно работать вне наших уютных офисов с такой же высокой производительностью. Уникальный опыт и знания наших специалистов по виртуализации рабочих мест и организации гетерогенной IT инфраструктуры также востребованы нашими корпоративными клиентами. Мы разместили IT системы ряда наших корпоративных клиентов в наших дата-центрах, а также временно реализовали удаленные рабочие места."
4;https://hh.ru/vacancy/97121286;97121286;Аналитик DWH;Okko;;Требуемый опыт работы: 3–6 лет;Полная занятость, полный день;;['SQL', 'Аналитическое мышление'];"Мы любим свое дело и много работаем. Поэтому Okko — один из ведущих онлайн-кинотеатров в России.Растём и развиваемся с 2011 года. Ежемесячно нас смотрят миллионы пользователей: на смартфонах, Smart TV и компьютерах. За всем этим стоит работа большой и сильной команды.Ищем коллегу, который станет связующим звеном между дата-аналитиками и дата-инженерами, а также поможет в структурировании процессов работы с данными. Обязанности:  сбор требований для реализации витрин данных; проведение тестирования и приемки витрин данных; рефакторинг текущих объектов на использование новых витрин данных; заведение недостающих письменных стандартов работы с данными.  Требования:  опыт работы на аналогичной позиции / аналитиком данных / DЕ-инженером от двух лет; уверенное владение SQL; опыт работы с данными для нужд аналитики; коммуникабельность, ответственность, внимание к деталям, любовь к структурированию и к данным; будет плюсом опыт работы с ClickHouse; грамотный устный и письменный русский язык.  Условия:  работа в сильной команде, состоящей из топовых аналитиков, аналитиков-разработчиков и инженеров; топовое оборудование и весь необходимый софт; официальное трудоустройство; ДМС со стоматологией, офисный врач, доплата больничного листа, корпоративные скидки; льготные условия ипотеки в рамках зарплатного проекта; бесплатная подписка на сервисы партнеров. насыщенная корпоративная жизнь. Не забудь о сопроводительном письме.                Расскажи об опыте работы:                предыдущих проектах и своей роли в них."
5;https://hh.ru/vacancy/100581831;100581831;Аналитик данных \ Data analyst;ООО Сеть Партнерств;;Требуемый опыт работы: 3–6 лет;Полная занятость, полный день;;[];Мы - аккредитованная продуктовая IT-компания.Мы создатели уникальной мультиподписки Газпром Бонус, gazprombonus.ruНа данный момент в подписку входят предложения более 45 партнёров, включая OZON, Premier, Лента, Газпромбанк, VK, Инвитро и др.Для реализации RoadMap приглашаем в команду Аналитика данных в команду Дата инженеров    Требования:  Опыт организации и проведения встреч и сбора требований у заказчиков Опыт написания однозначных, полных и понятных технических заданий Опыт работы инженерами по обработке данных, системными аналитиками и разработчиками Опыт работы с Jira/Confluence Опыт работы с SQL:   SELECT, JOIN, GROUP BY, HAVING Понимание реляционной модели Понимание индексов   Понимание моделей данных:   Звезда Снежинка Data Vault Anchor model   Опыт работы с Postgres/ClickHouse и понимание их различий Понимание принципов работы API    Плюсом будет:  Широкий кругозор по цифровым технологиям Опыт разработки решений для:   FinTech Big Data BI AI/ML  Обязанности:  Сбор и документирование бизнес-требований от заказчиков Системный анализ и документирование источников данных Системный анализ потоков данных процессов Постановка задач разработчикам на основе требований бизнес-пользователя Поиск данных, отвечающих на поставленные заказчиком вопросы  Условия работы:  Инновационные сложные продукты В команде: разработчики, продуктовые аналитики, бизнес-аналитики, системные аналитики, тестировщики и другие сотрудники, чтобы обеспечить высокий уровень результата и профессионализм команды Белая заработная плата + премиальная система Удаленный формат работы ДМС расширенный Любая форма трудоустройства в рамках законодательства График работы 5/2 с 10:00 до 19:00, Мск
6;https://hh.ru/vacancy/98746219;98746219;Продуктовый аналитик (лидер направления);Siberian Wellness;;Требуемый опыт работы: 3–6 лет;Полная занятость, полный день;;['SQL', 'Google Analytics', 'Tableau', 'ORACLE'];"Siberian Wellness – больше, чем просто производственная компания с 27-летней историей. Это – международный бренд, чьи продукты любят Клиенты в более чем 60 странах мира. А сотни тысяч предпринимателей в Европе, Азии, Америке, ведут бизнес с нами. Мы производим биологически активные добавки, витамины, косметику, парфюмерию, спортивное и функциональное питание для активного образа жизни и отличного самочувствия. Мы стремительно развиваемся, и не боимся ломать привычные рамки и стереотипы. О компании:   Полный цикл – разработка, собственное производство, продвижение и продажи   Мы имеем собственные торговые представительства в 17 странах, торговые представительства по франчайзингу в 10 странах, 5 распределительных центров, фирменную сеть из 99 офлайн-магазинов и 20 интернет-магазинов, а также 1285 магазинов, работающих с нами по франчайзингу.   В связи с расширением штата ждём в свою команду талантливого профессионала. Что предстоит делать:  улучшать качество аналитики в продукте: прометка источников данных, автоматизация и визуализация отчетов, в том числе за счет построения процессов; анализировать поведение пользователей в продукте: сегментировать аудиторию, строить воронки, анализировать пользовательские сценарии; искать точки роста, формулировать гипотезы; проводить эксперименты по валидации гипотез и интерпретировать результаты; построить кросс-функциональное взаимодействие продуктовой аналитики с руководителями отделов (заказчиками на аналитику), дата инженерами, командой разработки.    Что ждем от тебя:  работаешь продуктовым аналитиком от 3-х лет; уметь работать с MySQL, Python, базами данных (GBQ, Oracle, PostgreSQL, Redis), GTM; дружишь с системами аналитики: Google Analytics, Я.Метрика, желательно — знание аналитических продуктов для мобильных приложений; умеешь работать с большими массивами информации и систематизировать информацию, аналитическое мышление; умеешь в АБ-тесты и иные методы оценки гипотез; понимаешь математическую статистику, применяешь стат. методы оценки в зависимости от разных типов.  Будет большим преимуществом:  наличие управленческого опыта от 2-х лет; организация процессов во фрейме Agile с измеримостью эффективности отдела.  Условия:   Удаленный формат работы.   Интересные, сложные и амбициозные задачи в компании международного уровня.   Профессиональный коллектив, распределенный по всему миру.   Работа на крутой результат.   Оформление, зарплата, отпуск, больничный и все по закону.   Программа ввода в должность.   Скидки на продукцию компании 50%.   Уровень вознаграждения обсуждается. По итогам знакомства и обсуждения вакансии готовим индивидуальное предложение о работе (job-offer)."
7;https://hh.ru/vacancy/99851758;99851758;Стажер-аналитик 1С;Первый Бит;;Требуемый опыт работы: не требуется;Стажировка, полный день;;['1С: Управление Торговлей', '1С: Предприятие 8', 'BPMN', 'UML', 'Бизнес-анализ', 'Обучение и развитие', 'Моделирование бизнес процессов', 'Разработка технических заданий', 'Аналитическое мышление'];"Международная IT-компания Первый Бит в поисках специалиста, готового расти и развиваться в области 1С. Компания занимаемся автоматизацией и цифровизацией бизнеса. С помощью it делаем бизнес-клиентов сильнее! Наша команда активно развивается вот уже 26 лет и насчитывает более 8000 сотрудников. Мы приглашаем на обучение, в рамках которого ты сможешь приобрести базовые знания для начинающего аналитика 1С, также, получишь обратную связь и поддержку от экспертов данного направления. Обучение будет проходить по блокам:  Основы бизнес процесса товародвижения Основы 1С:Управление торговлей  ПО ИТОГАМ ОБУЧЕНИЯ САМЫХ УСПЕШНЫХ СТУДЕНТОВ ЖДЕТ ПРЕДЛОЖЕНИЕ О РАБОТЕ!МЫ ЖДЕМ, ЧТО ТЫ: - Имеешь законченное образование (среднее или высшее); - Знаешь языки программирования;- Имеешь высокое желание обучаться и стремишься быть лучшей версией себя; - Стрессоустойчив, коммуникабелен и рассуждаешь логически. УСЛОВИЯ ПРИ ТРУДОУСТРОЙСТВЕ: - Работа в стабильной аккредитованной ИТ-компании с многолетней историей - Возможность гибридного и удалённого формата работы - Оформление по ТК РФ, в штат, ""белая"" зарплата - Интересные, разноплановые задачи, участие в крупных проектах - Льготный ДМС, скидки на медицинские услуги, изучение английского языка, самообразование, фитнес, также на отдых и развлечения - Выгодные предложения по кредитам и процентным ставкам от банка-партнераДАТА НАЧАЛА ОБУЧЕНИЯ – 17 ИЮНЯПРОДОЛЖИТЕЛЬНОСТЬ – 5 ДНЕЙФОРМАТ ПРОВЕДЕНИЯ - ОЧНО В ОФИСЕ с 17:00 до 21:00"
8;https://hh.ru/vacancy/99531914;99531914;Chief Data Officer (CDO);Монополия;;Требуемый опыт работы: 3–6 лет;Полная занятость, полный день;;[];"«Монополия» -  это группа компаний и бизнес-решения в цифровой логистике.        Меняем мир транспортной логистики с помощью платформы Monopoly.Online.0+ «Monopoly.Online – основной продукт, над которым работают наши специалисты, помогая ежедневно тысячам грузовладельцев и грузоперевозчикам быстро находить и отправлять грузы, получать дополнительные сервисы».Владеем и управляем собственным парком транспортных средств и водительским составом.Ценим уникальность, компетентность и потенциал каждого члена нашей команды.Наша команда – это важнейшая составляющая успеха!Задачи: 1. Блок по построению ХД и качества сбора и обработки данных.1.1. Внедрение инструментов сбора, трансформации и хранения данных и их развитие;1.2. Реализация решений и инструментов по развитию аналитической культуры бизнес-пользователей;1.3. Проектирование, разработка новых и доработка существующих реляционных хранилищ данных;1.4. Разработка структуры OLAP кубов, набора фактов, измерений (Microsoft SQL Server Analysis Services);1.5. Создание единой архитектуры и модели данных в корпоративных IT-системах для оптимизации бизнес-процессов и построения единого BI. 2. Блок по математическому моделированию платформенных решенийФормирования стратегии развития аналитической инфраструктуры и платформы данных.2.1. Разработка и лидирование data-продуктов компании;2.2. Описание событийной модели, сбор данных со всех клиентов и бека;2.3. Создание математических алгоритмов, систем мечингов и динамического ценообразования;2.4. Решение задачи атрибуции;2.5. Построение своей кастомной модели многоканальной атрибуции;2.6. Разработка, имплементация и развитие рекомендательной системы. 3. Общий блок3.1. Исследования, поиск узких мест и точек роста;3.2. Построение иерархии метрик компании;3.3. Создание и развитие распределенных дата-команд на стороне продуктов;3.4. Приоритизация бэклога продуктовых команд. Требования:  Высшее профильное (математическое, ИТ, экономика, техническое) образование от 3 лет в роли CDO, зам СDO - если из крупные компании или высоко технологичной компании Опыт внедрения и развития аналитической инфраструктуры; Опыт внедрения хранилищ данных и озер данных в аналитическую IT- инфраструктуру; Уверенное представление о ключевых продуктовых, финансовых и маркетинговых метриках; Владение BI-инструментами, опыт их успешного внедрения;Наличие знаний в продуктовой аналитике, data science, статистике, дата-инжиниринге; Опыт работы с Big-data инструментами; Коммуникативные навыки, желание повести за собой команду; Готовность и умение решать сложные задачи и добиваться результата. более2500сотрудниковболее1000машинболее15лет на рынкеООО ""МОНОПОЛИЯ"" представляет бренд Monopoly.online."
9;https://hh.ru/vacancy/95345628;95345628;"Менеджер домена данных ""Газ""";ПАО «Газпром нефть» ИТ;;Требуемый опыт работы: 1–3 года;Полная занятость, полный день;;[];Чем предстоит заниматься:    Организовать эффективную сервисную поддержку реализованных решений/ дата-продуктов для заказчиков в части газового бизнеса Осуществлять распространение культуры и компетенций управления данными в периметре БРД: обучение пользователей и аналитиков, оптимизацию взаимодействия, изучение и внедрение лучших практик управления данными Обеспечивать единую точку контакта, организацию взаимодействия с Заказчиками по вопросам организации работы с данными, связанным с предоставлением всех видов услуг по направлениям деятельности подразделения Принимать активное участие в определении потребностей Заказчика, поддержке и развитии его инициатив по развитию дата-сервисов и продуктов Осуществлять выявление, анализ, контроль и разработку планов реагирования на риски, связанные с поддержкой реализованных решений Выполнять управление сервисными услугами в зоне ответственности подразделения, обеспечивать заданный уровень качества этих услуг Принимать участие и организовывать (при необходимости) оптимизацию и совершенствование информационных систем, их архитектуры и прочих параметров, в периметре БРД, в рамках деятельности подразделения  Обеспечивать формирование, уточнение, оценку и согласование параметров оказываемых услуг по направлениям деятельности подразделения Планировать, управлять и контролировать выполнение планов работ, их ресурсного обеспечения в рамках деятельности подразделения Организовывать реализацию проектов и программ БРД, развитие дата-продуктов рамках данных домена  Участвовать в Рабочих группах по доменам данных, участвовать в проработке инициатив в рамках доменов (в рамках своей компетенции и направления деятельности). Повышать уровень своих профессиональных знаний и навыков как в процессе обучения на специальных курсах, так и путем саморазвития. Изучать и применять на практике передовые приемы, методы, технологии и инструменты для оказания услуг, реализации поставленных планов и задач. Формировать дорожную карту развития домена данных в соответствии с целями стратегии компании и цифровых программ и стратегии цифровизации и управления данными Выполнять мониторинг дата-продуктов домена на предмет соответствия SLA и соглашениям по качеству данных, а также принятой методологии УпД Выполнять мониторинг и отвечать за повышение ключевых метрик УпД домена Управление метаданными Согласовывать описание и источники данных домена Обеспечивать полноту и качество метаданных по дата-продуктам домена данных их доступность в каталоге данных Определять бизнес-экспертов для предметных областей домена Управление архитектурой и моделями данных Согласовывать разработку и изменение Концептуальной модели данных домена Осуществлять синхронизацию архитектуры бизнеса и архитектуры данных Управление качеством данных Разрабатывать план повышения качества данных и обеспечивать его исполнение за счет совершенстование бизнес-процессов и ИТ-систем относящихся к периметру ответственности домена Определять ответственных за данные в дочерних обществах в рамках Матрицы ответственности за данные Управление хранилищем и интеграцией данных Формировать дорожную карту наполнения хранилища данных домена Обеспечивать сервис/исполнение SLA по витринам данных и потокам данных реализованным для их наполнения Управление бизнес аналитикой (BI) Определять НСИ домена данных  Мы ожидаем, что ты:  Имеешь опыт управления данными (Data Governance) Опыт управление проектами  Опыт управление продуктами Опыт управление корпоративной архитектурой  Опыт управление изменениями Готовность взять на себя ответственность за коллектив и проекты домена данных газового бизнеса  Позитивное отношение к людям Обучаемость, стремление развиваться Умение организовать других Собственная точка зрения Стрессоустойчивость    Мы предлагаем:  Трудоустройство в аккредитованную ИТ компанию. Достойную твоего профессионального уровня заработную плату (уровень вознаграждения обсуждается индивидуально по результатам интервью). Годовую премию по результатам деятельности, дополнительную материальную мотивацию (премии от руководителя). Качественную программу ДМС со стоматологией с первого месяца работы. Неограниченный доступ к образовательному контенту на портале знаний от корпоративного университета.  В «Газпром нефть» ты можешь:  Получить уникальный профессиональный опыт Создавать смелые проекты с нуля и наблюдать за их влиянием на целую отрасль Быть вместе с теми, кого вдохновляют сверхсложные задачи Сочетать несколько ролей, быть частью нескольких команд или участвовать в кросс-функциональных командах Использовать возможности компании-лидера для своей самореализации и убедиться, что любой профессиональный опыт важен Быть среди тех, кто создает первую в России цифровую платформу для управления промышленной компанией нового поколения
