;link;id;employer;name;salary;experience;schedule;schedule_dop;key;description
0;https://spb.hh.ru/vacancy/95506064;95506064;КОНДИТЕР (м.Строгино);Кофемания;от 59 400 до 64 800 ₽ на руки;Требуемый опыт работы: не требуется;Полная занятость, полный день;;[];"Рестораны        Служба технического         обслуживания и ремонта      ПроизводствоРаспределительный центрОфисТранспортная службаУчебный центрКофемания более 22 лет задаёт тренды на рынке, а наши профессионалы работают на самом технологичном производстве с лучшим мировым оборудованием и ингредиентами. В кондитерском ателье премиум-класса Cake Buro от «Кофемании» во главе с Шеф-кондитером №1 в Москве – Еленой Железняковой, ты сможешь работать в команде лучших в своём деле! Что мы предлагаем:  Обучение у известного московского шеф-кондитера - Елены Железняковой; Стабильный доход, оформление по ТК РФ (оплата отпуска и больничного) Компенсация проезда до место работы: кондитерский цех ""Кофемании"", м. Строгино; Много бонусов: бесплатное 3-х разовое питание, медицинская книжка и форма, корпоративные скидки; Удобный для вас график (2/2, День с 9.00 до 21.00 или ночь с 21.00 до 09.00); Комфортные условия труда: столовая, зоны отдыха, душевые, раздевалки, шкафчики; Современное и высокотехнологичное оборудование; Реальный карьерный рост; Работа с лучшими продуктами со всего мира; Корпоративная скидка в наших ресторанах и спецпредложения у компаний-партнеров.  Что вам нужно делать:  Качественное приготовление кондитерской продукции согласно установленной рецептуре; Соблюдать санитарные нормы и правила; Уважительно и бережно относиться к продуктам, оборудованию и коллегам.  Что вам потребуется:  Готовность работать в команде; Желание расти и развиваться в профессии кондитер; Профильное образование будет преимуществом.    Стань частью самой известной и успешной команды ресторанов Кофемания! Приведи в компанию друзей и получи 20 000 рублей за каждого сотрудника.   Наша вакансия также подойдет вам, если вы искали: работа повар, пекарь, кондитер, кондитер-скульптор, шоколатье, скульптор, пиццайоло, тестомес, тестовод, булочник, хлебопёк, грильщик, заготовщик, повар горячего цеха (г.ц.), повар холодного цеха (х.ц.), су-шеф, работа на супах, мясника, М/Ц, Жиловщик, Обвальщик, Рубщик, сушиста, помощник повара, повар без опыта, кейтеринг, повар в компаниях: White Rabbit Family, Lucky group, Буше, kosmos kitchen, Novikov Group, She, Ресторанный Холдинг Тигрус, Alba group, ПушкинЪ, Гудман, I Love Cake, Брусника, Северянине, Доктор Живаго, Сибирь, Osteria Mario, Пятерочка, Перекресток, Ашан, Вкусвилл, Магнит, Лента, Глобус, Окей, Азбука Вкуса, Мираторг, Велком, Мясокомбинат, Мясной дом, Рублевские колбасы, Ремит, Черкизово, Петелинка, Троекурово, Дымов, Останкино, Коломенское, Мясновъ, Мясной гурман, Мясницкий ряд, Русагро.Ждём в команду!          ООО «Азарика» представляет бренд Кофемания"
1;https://spb.hh.ru/vacancy/100495825;100495825;Помощник воспитателя;Космо Кидс (ИП Григорьева Яна Владимировна);от 50 000 ₽ на руки;Требуемый опыт работы: 1–3 года;Полная занятость, полный день;;[];"Kosmo Kids — это детские сады премиум-класса, в основе которых лежит стремление помочь ребенку развиваться во всех сферах с учетом пребывания в двуязычной среде. Kosmo Kids — уникальная команда профессионалов. Опыт, мастерство, творческий подход к делу — качества, которыми обладает каждый из нас. Наша цель — создать максимально эффективную среду для развития детей, помочь им понять, что учиться — это интересно. В связи с открытием нового филиала в Санкт-Петербурге, мы в поиске ""Помощника воспитателя"" Обязанности:   обеспечение ухода за детьми   участие в подготовке и организации занятий, создание эмоционального комфорта   создание безопасной развивающей среды   помощь воспитателю при одевании, раздевании, умывании, купании, кормлении, укладывания детей в постель   сопровождение детей на прогулке   поддержание порядка в личных шкафчиках детей   своевременная уборка помещений и мытье посуды, в соответствии с санитарными правилами   проветривание помещений   смена постельного белья по графику   соблюдение правил внутреннего трудового распорядка, личной гигиены, соблюдение инструкции по охране жизни и здоровья детей, санитарно-гигиенические нормы   ​​Требования:  умение работать в коллективе наличие мед книжки обязательно  Условия:  Место работы: Ст. м. Фрунзенская ЗП от 50 000 руб. + премии  График 5/2 с 8.00-20.00. 8.00-14.00, 14.00-20.00  рассматриваем соискателей на полную ставку и на половину ставки  Присоединяйтесь к нам, чтобы стать частью нашей команды!"
2;https://spb.hh.ru/vacancy/98338968;98338968;Кондитер (м. Строгино);Кофемания;от 64 800 ₽ на руки;Требуемый опыт работы: не требуется;Полная занятость, сменный график;;[];"Рестораны        Служба технического         обслуживания и ремонта      ПроизводствоРаспределительный центрОфисТранспортная службаУчебный центрКофемания более 22 лет задаёт тренды на рынке, а наши профессионалы работают на самом технологичном производстве с лучшим мировым оборудованием и ингредиентами. В кондитерском ателье премиум-класса Cake Buro от «Кофемании» во главе с Шеф-кондитером №1 в Москве – Еленой Железняковой, ты сможешь работать в команде лучших в своём деле! Что мы предлагаем:  Обучение у известного московского шеф-кондитера - Елены Железняковой; на испытательный срок 250 рублей за час (3 000 рублей смена), далее 330 рублей час (3960 рублей смена) Стабильный доход, оформление по ТК РФ (оплата отпуска и больничного) Компенсация проезда до место работы: кондитерский цех ""Кофемании"", м. Строгино; Много бонусов: бесплатное 3-х разовое питание, медицинская книжка и форма, корпоративные скидки; График (2/2) с 9.00 до 21.00; Комфортные условия труда: столовая, душевые, раздевалки, шкафчики; Современное и высокотехнологичное оборудование; Реальный карьерный рост; Работа с лучшими продуктами со всего мира; Реферальная программа ""Приведи друга""; Корпоративная скидка в наших ресторанах и спецпредложения у компаний-партнеров  Что вам потребуется:  Готовность работать в команде; Желание расти и развиваться в профессии кондитер;  Профильное образование желательно.   Стань частью самой известной и успешной команды ресторанов Кофемания! Приведи в компанию друзей и получи 20 000 рублей за каждого сотрудника.   Наша вакансия также подойдет вам, если вы искали: работа повар, пекарь, кондитер, кондитер-скульптор, шоколатье, скульптор, пиццайоло, тестомес, тестовод, булочник, хлебопёк, грильщик, заготовщик, повар горячего цеха (г.ц.), повар холодного цеха (х.ц.), су-шеф, работа на супах, мясника, М/Ц, Жиловщик, Обвальщик, Рубщик, сушиста, помощник повара, повар без опыта, кейтеринг, повар в компаниях: White Rabbit Family, Lucky group, Буше, kosmos kitchen, Novikov Group, She, Ресторанный Холдинг Тигрус, Alba group, ПушкинЪ, Гудман, I Love Cake, Брусника, Северянине, Доктор Живаго, Сибирь, Osteria Mario, Пятерочка, Перекресток, Ашан, Вкусвилл, Магнит, Лента, Глобус, Окей, Азбука Вкуса, Мираторг, Велком, Мясокомбинат, Мясной дом, Рублевские колбасы, Ремит, Черкизово, Петелинка, Троекурово, Дымов, Останкино, Коломенское, Мясновъ, Мясной гурман, Мясницкий ряд, Русагро.Ждём в команду!          ООО «Азарика» представляет бренд Кофемания"
3;https://spb.hh.ru/vacancy/99247270;99247270;Ночной кондитер;Кофемания;от 69 120 до 76 800 ₽ на руки;Требуемый опыт работы: 1–3 года;Полная занятость, сменный график;;['Работа в команде', 'Креативность', 'Грамотная речь', 'Электронная почта'];"Рестораны        Служба технического         обслуживания и ремонта      ПроизводствоРаспределительный центрОфисТранспортная службаУчебный центрКофемания более 22 лет задаёт тренды на рынке, а наши профессионалы работают на самом технологичном производстве с лучшим мировым оборудованием и ингредиентами. В кондитерском ателье премиум-класса Cake Buro от «Кофемании» во главе с Шеф-кондитером №1 в Москве – Еленой Железняковой, ты сможешь работать в команде лучших в своём деле! Что мы предлагаем:  Вакансия располагается - МЕТРО СТРОГИНО Обучение у известного московского шеф-кондитера - Елены Железняковой; Стабильный доход, оформление по ТК РФ (оплата отпуска и больничного) Компенсация проезда до место работы: кондитерский цех ""Кофемании"", м. Строгино; Много бонусов: бесплатное 3-х разовое питание, медицинская книжка и форма, корпоративные скидки; График НОЧЬ 2/2 с 21.00 до 09.00; Комфортные условия труда: столовая, зоны отдыха, душевые, раздевалки, шкафчики; Современное и высокотехнологичное оборудование; Реальный карьерный рост; Работа с лучшими продуктами со всего мира; Реферальная программа ""Приведи друга""; Корпоративная скидка в наших ресторанах и спецпредложения у компаний-партнеров.  Что вам нужно делать:  Качественное приготовление кондитерской продукции согласно установленной рецептуре; Соблюдать санитарные нормы и правила; Уважительно и бережно относиться к продуктам, оборудованию и коллегам.  Что вам потребуется:  Готовность работать в команде; Желание расти и развиваться в профессии кондитер; Профильное образование будет преимуществом.    Стань частью самой известной и успешной команды ресторанов Кофемания! Приведи в компанию друзей и получи 20 000 рублей за каждого сотрудника.   Наша вакансия также подойдет вам, если вы искали: работа повар, пекарь, кондитер, кондитер-скульптор, шоколатье, скульптор, пиццайоло, тестомес, тестовод, булочник, хлебопёк, грильщик, заготовщик, повар горячего цеха (г.ц.), повар холодного цеха (х.ц.), су-шеф, работа на супах, мясника, М/Ц, Жиловщик, Обвальщик, Рубщик, сушиста, помощник повара, повар без опыта, кейтеринг, повар в компаниях: White Rabbit Family, Lucky group, Буше, kosmos kitchen, Novikov Group, She, Ресторанный Холдинг Тигрус, Alba group, ПушкинЪ, Гудман, I Love Cake, Брусника, Северянине, Доктор Живаго, Сибирь, Osteria Mario, Пятерочка, Перекресток, Ашан, Вкусвилл, Магнит, Лента, Глобус, Окей, Азбука Вкуса, Мираторг, Велком, Мясокомбинат, Мясной дом, Рублевские колбасы, Ремит, Черкизово, Петелинка, Троекурово, Дымов, Останкино, Коломенское, Мясновъ, Мясной гурман, Мясницкий ряд, Русагро.Ждём в команду!          ООО «Азарика» представляет бренд Кофемания"
4;https://spb.hh.ru/vacancy/99153559;99153559;Помощник кондитера;Кофемания;от 54 000 ₽ на руки;Требуемый опыт работы: не требуется;Полная занятость, полный день;;['Работа в команде', 'Креативность', 'Грамотная речь', 'Поварское дело'];"Рестораны        Служба технического         обслуживания и ремонта      ПроизводствоРаспределительный центрОфисТранспортная службаУчебный центрЧто мы предлагаем:  Обучение у известного московского шеф-кондитера - Елены Железняковой; Стабильный доход, оформление по ТК РФ (оплата отпуска и больничного) Компенсация проезда до место работы: кондитерский цех ""Кофемании"", м. Строгино; Много бонусов: бесплатное 3-х разовое питание, медицинская книжка и форма, корпоративные скидки; График (2/2, ); Комфортные условия труда: столовая, душевые, раздевалки, шкафчики; Современное и высокотехнологичное оборудование; Реальный карьерный рост; Работа с лучшими продуктами со всего мира; Реферальная программа ""Приведи друга""; Корпоративная скидка в наших ресторанах и спецпредложения у компаний-партнеров  Что вам потребуется:  Готовность работать в команде; Желание расти и развиваться в профессии кондитер;  Профильное образование желательно.   Стань частью самой известной и успешной команды ресторанов Кофемания! Приведи в компанию друзей и получи 20 000 рублей за каждого сотрудника.   Наша вакансия также подойдет вам, если вы искали: работа повар, пекарь, кондитер, кондитер-скульптор, шоколатье, скульптор, пиццайоло, тестомес, тестовод, булочник, хлебопёк, грильщик, заготовщик, повар горячего цеха (г.ц.), повар холодного цеха (х.ц.), су-шеф, работа на супах, мясника, М/Ц, Жиловщик, Обвальщик, Рубщик, сушиста, помощник повара, повар без опыта, кейтеринг, повар в компаниях: White Rabbit Family, Lucky group, Буше, kosmos kitchen, Novikov Group, She, Ресторанный Холдинг Тигрус, Alba group, ПушкинЪ, Гудман, I Love Cake, Брусника, Северянине, Доктор Живаго, Сибирь, Osteria Mario, Пятерочка, Перекресток, Ашан, Вкусвилл, Магнит, Лента, Глобус, Окей, Азбука Вкуса, Мираторг, Велком, Мясокомбинат, Мясной дом, Рублевские колбасы, Ремит, Черкизово, Петелинка, Троекурово, Дымов, Останкино, Коломенское, Мясновъ, Мясной гурман, Мясницкий ряд, Русагро.Ждём в команду!          ООО «Азарика» представляет бренд Кофемания"
5;https://spb.hh.ru/vacancy/95648774;95648774;Пекарь /Тестовод / Тестомес (м. Строгино);Кофемания;от 68 000 ₽ на руки;Требуемый опыт работы: 1–3 года;Полная занятость, полный день;;['Работа в команде', 'Поварское дело', 'технологические карты', 'Контроль сроков годности', 'Общественное питание', 'Умение работать в коллективе'];"Рестораны        Служба технического         обслуживания и ремонта      ПроизводствоРаспределительный центрОфисТранспортная службаУчебный центрКофемания – это 22 года успешной работы на рынке, собственное современное производство и технологичные цеха, где стабильно работает команда профессионалов, влюблённых в своё дело! Что мы предлагаем:    Стабильный доход, оформление по ТК РФ (оплата отпуска и больничного) Компенсация проезда до место работы: кондитерский цех ""Кофемании"", м. Строгино; Много бонусов: 3х разовое питание, бесплатная медицинская книжка и форма, корпоративные скидки; График 2/2 сс 8:00 до 20:00 17:00 до 05:00  Комфортные условия труда: столовая, душевые, раздевалки, шкафчики; Современное и высокотехнологичное оборудование; Реальный карьерный рост.  Что предстоит делать:  Готовить выпечку по установленной рецептуре: хлеб, булочки, круассаны; Соблюдать санитарные нормы и правила.  Наши пожелания кандидатам:   Опыт работы со слоеным тестом будет преимуществом; Приведи в компанию друзей и получи 20 000 рублей за каждого сотрудника. Присоединяйтесь к нашей команде! Наша вакансия также подойдет вам, если вы искали: работа повар, пекарь, кондитер, кондитер-скульптор, шоколатье, скульптор, пиццайоло, тестомес, тестовод, булочник, хлебопёк, грильщик, заготовщик, повар горячего цеха (г.ц.), повар холодного цеха (х.ц.), су-шеф, работа на супах, мясника, М/Ц, Жиловщик, Обвальщик, Рубщик, сушиста, помощник повара, повар без опыта, кейтеринг, повар в компаниях: White Rabbit Family, Lucky group, Буше, kosmos kitchen, Novikov Group, She, Ресторанный Холдинг Тигрус, Alba group, ПушкинЪ, Гудман, I Love Cake, Брусника, Северянине, Доктор Живаго, Сибирь, Osteria Mario, Пятерочка, Перекресток, Ашан, Вкусвилл, Магнит, Лента, Глобус, Окей, Азбука Вкуса, Мираторг, Велком, Мясокомбинат, Мясной дом, Рублевские колбасы, Ремит, Черкизово, Петелинка, Троекурово, Дымов, Останкино, Коломенское, Мясновъ, Мясной гурман, Мясницкий ряд, Русагро.Ждём в команду!          ООО «Азарика» представляет бренд Кофемания"
6;https://spb.hh.ru/vacancy/98474490;98474490;Менеджер по продажам косметологического и медицинского оборудования;ООО Альтасеилс;от 100 000 ₽ на руки;Требуемый опыт работы: 1–3 года;Полная занятость, удаленная работа;;['B2B Продажи', 'Медицинское оборудование', 'Навыки продаж', 'Телефонные переговоры'];"Компания “Kosmo Lik” является надежным прямым поставщиком косметологических аппаратов для салонов красоты, косметологических клиник и частных кабинетов. Наш ассортимент регулярно пополняется, мы постоянно следим за новинками на рынке и предлагаем нашим покупателям лучшее оборудование. Наше оборудование имеет все сертификаты соответствия и отвечает требованиям международных стандартов. В связи с расширением компании, приглашаем в нашу команду менеджера по продажам (удаленно). Что мы Вам гарантируем:   Высокий доход. Средний показатель 80 000 - 120 000. Лучшие менеджеры зарабатывают от 150 000 руб;   Абсолютно бесплатное обучение нашей специфике;   Поддержку сильных специалистов с огромным опытом в этой сфере ;   Постоянный поток крупных интересных проектов и задач.   Чем нужно заниматься:   Обработка входящих обращений новых клиентов;   Проработка базы потенциальных клиентов;   Составление коммерческих предложений;   Заключение договоров, выставление счетов;   Отчетная документация;   Создание и поддержание долгосрочных отношений с клиентами;   Вести клиентов в CRM-системе (AmoCRM).   Мы хотим видеть в нашей команде того кто:   Целеустремленный и амбициозный;   Хочет и любит общаться с людьми;   Хочет зарабатывать хорошие деньги;   Хочет расти и развиваться с компанией;   Любит обучаться и развиваться.     Требования:   Грамотная речь: письменная и устная;   Опыт в продажах B2B;   Знание техник продаж и успешный опыт их применения;   Желание и умение общаться с людьми;   Позитивный настрой, умение наладить хорошие отношения с человеком;   Настойчивость, активность, коммуникабельность, нацеленность на результат.     Что мы предлагаем:   Прозрачная мотивация (оклад+% от продаж);   График работы 5/2 с 9.00 до 18.00 (выходные могут быть сменные);   Расширенное бесплатное обучение по продукту;   Выплаты 1-2 раза в месяц;   Дружный, амбициозный коллектив;   Карьерный рост до ведущего менеджера.   Заинтересовала вакансия - откликайся, мы ждем тебя!"
7;https://spb.hh.ru/vacancy/99950418;99950418;Повар заготовщик (м. Крылатское);Кофемания;от 75 000 до 99 000 ₽ на руки;Требуемый опыт работы: не требуется;Полная занятость, полный день;;[];"Рестораны        Служба технического         обслуживания и ремонта      ПроизводствоРаспределительный центрОфисТранспортная службаУчебный центрКофемания более 22 лет задаёт тренды на рынке, а наши профессионалы работают на самом технологичном производстве с лучшим мировым оборудованием и ингредиентами. В кондитерском ателье премиум-класса Cake Buro от «Кофемании» во главе с Шеф-кондитером №1 в Москве – Еленой Железняковой, ты сможешь работать в команде лучших в своём деле! Что мы предлагаем:  Вакансия располагается - МЕТРО КРЫЛАТСКОЕ Стабильный доход, оформление по ТК РФ (оплата отпуска и больничного) Компенсация проезда до место работы; Много бонусов: бесплатное 3-х разовое питание, медицинская книжка и форма, корпоративные скидки; Любой удобный для вас график (5/2 или 6/1 +возможность дополнительных часов) с 06.00 до 18.00 или 07.00 до 19.00 Комфортные условия труда: столовая, зоны отдыха, душевые, раздевалки, шкафчики; Современное и высокотехнологичное оборудование; Реальный карьерный рост; Работа с лучшими продуктами со всего мира; Реферальная программа ""Приведи друга""; Корпоративная скидка в наших ресторанах и спецпредложения у компаний-партнеров.  Что вам нужно делать:  Работать с ножом: разделка мяса/птицы; Работа с технологическими картами Сборка заказа; Заготовка полуфабрикатов.  Что вам потребуется:  Готовность работать в команде; Желание расти и развиваться в профессии повара; Профильное образование будет преимуществом.    Стань частью самой известной и успешной команды ресторанов Кофемания! Приведи в компанию друзей и получи 20 000 рублей за каждого сотрудника.   Наша вакансия также подойдет вам, если вы искали: работа повар, кондитер, кондитер-скульптор, шоколатье, скульптор, пиццайоло, тестомес, тестовод, булочник, хлебопёк, грильщик, заготовщик, повар горячего цеха (г.ц.), повар холодного цеха (х.ц.), су-шеф, работа на супах, мясника, М/Ц, Жиловщик, Обвальщик, Рубщик, сушиста, помощник повара, повар без опыта, кейтеринг, повар в компаниях: White Rabbit Family, Lucky group, Буше, kosmos kitchen, Novikov Group, She, Ресторанный Холдинг Тигрус, Alba group, ПушкинЪ, Гудман, I Love Cake, Брусника, Северянине, Доктор Живаго, Сибирь, Osteria Mario, Пятерочка, Перекресток, Ашан, Вкусвилл, Магнит, Лента, Глобус, Окей, Азбука Вкуса, Мираторг, Велком, Мясокомбинат, Мясной дом, Рублевские колбасы, Ремит, Черкизово, Петелинка, Троекурово, Дымов, Останкино, Коломенское, Мясновъ, Мясной гурман, Мясницкий ряд, Русагро.Ждём в команду!          ООО «Азарика» представляет бренд Кофемания"
8;https://spb.hh.ru/vacancy/99605461;99605461;Повар в мясной цех (м.Крылатское);Кофемания;от 75 000 до 99 000 ₽ на руки;Требуемый опыт работы: не требуется;Полная занятость, полный день;;[];"Рестораны        Служба технического         обслуживания и ремонта      ПроизводствоРаспределительный центрОфисТранспортная службаУчебный центрКофемания более 22 лет задаёт тренды на рынке, а наши профессионалы работают на самом технологичном производстве с лучшим мировым оборудованием и ингредиентами. В кондитерском ателье премиум-класса Cake Buro от «Кофемании» во главе с Шеф-кондитером №1 в Москве – Еленой Железняковой, ты сможешь работать в команде лучших в своём деле! Что мы предлагаем:  Вакансия располагается - МЕТРО КРЫЛАТСКОЕ Стабильный доход, оформление по ТК РФ (оплата отпуска и больничного) Компенсация проезда до место работы; Много бонусов: бесплатное 3-х разовое питание, медицинская книжка и форма, корпоративные скидки; Любой удобный для вас график (5/2 или 6/1 +возможность дополнительных часов) с 06.00 до 18.00 или 07.00 до 19.00 Комфортные условия труда: столовая, зоны отдыха, душевые, раздевалки, шкафчики; Современное и высокотехнологичное оборудование; Реальный карьерный рост; Работа с лучшими продуктами со всего мира; Реферальная программа ""Приведи друга""; Корпоративная скидка в наших ресторанах и спецпредложения у компаний-партнеров.  Что вам нужно делать:  Работать с ножом: разделка мяса/птицы; Работа с технологическими картами Сборка заказа; Заготовка полуфабрикатов.  Что вам потребуется:  Готовность работать в команде; Желание расти и развиваться в профессии повара; Профильное образование будет преимуществом.    Стань частью самой известной и успешной команды ресторанов Кофемания! Приведи в компанию друзей и получи 20 000 рублей за каждого сотрудника.   Наша вакансия также подойдет вам, если вы искали: работа повар, кондитер, кондитер-скульптор, шоколатье, скульптор, пиццайоло, тестомес, тестовод, булочник, хлебопёк, грильщик, заготовщик, повар горячего цеха (г.ц.), повар холодного цеха (х.ц.), су-шеф, работа на супах, мясника, М/Ц, Жиловщик, Обвальщик, Рубщик, сушиста, помощник повара, повар без опыта, кейтеринг, повар в компаниях: White Rabbit Family, Lucky group, Буше, kosmos kitchen, Novikov Group, She, Ресторанный Холдинг Тигрус, Alba group, ПушкинЪ, Гудман, I Love Cake, Брусника, Северянине, Доктор Живаго, Сибирь, Osteria Mario, Пятерочка, Перекресток, Ашан, Вкусвилл, Магнит, Лента, Глобус, Окей, Азбука Вкуса, Мираторг, Велком, Мясокомбинат, Мясной дом, Рублевские колбасы, Ремит, Черкизово, Петелинка, Троекурово, Дымов, Останкино, Коломенское, Мясновъ, Мясной гурман, Мясницкий ряд, Русагро.Ждём в команду!          ООО «Азарика» представляет бренд Кофемания"
9;https://spb.hh.ru/vacancy/99176056;99176056;Повар - Мясник (м.Крылатское);Кофемания;от 75 000 до 99 000 ₽ на руки;Требуемый опыт работы: не требуется;Полная занятость, полный день;;[];"Рестораны        Служба технического         обслуживания и ремонта      ПроизводствоРаспределительный центрОфисТранспортная службаУчебный центрКофемания более 22 лет задаёт тренды на рынке, а наши профессионалы работают на самом технологичном производстве с лучшим мировым оборудованием и ингредиентами. В кондитерском ателье премиум-класса Cake Buro от «Кофемании» во главе с Шеф-кондитером №1 в Москве – Еленой Железняковой, ты сможешь работать в команде лучших в своём деле! Что мы предлагаем:  Вакансия располагается - МЕТРО КРЫЛАТСКОЕ Стабильный доход, оформление по ТК РФ (оплата отпуска и больничного) Компенсация проезда до место работы; Много бонусов: бесплатное 3-х разовое питание, медицинская книжка и форма, корпоративные скидки; Любой удобный для вас график (5/2 или 6/1 +возможность дополнительных часов) с 06.00 до 18.00 или 07.00 до 19.00 Комфортные условия труда: столовая, зоны отдыха, душевые, раздевалки, шкафчики; Современное и высокотехнологичное оборудование; Реальный карьерный рост; Работа с лучшими продуктами со всего мира; Реферальная программа ""Приведи друга""; Корпоративная скидка в наших ресторанах и спецпредложения у компаний-партнеров.  Что вам нужно делать:  Работать с ножом: разделка мяса/птицы; Работа с технологическими картами Сборка заказа; Заготовка полуфабрикатов.  Что вам потребуется:  Готовность работать в команде; Желание расти и развиваться в профессии повара; Профильное образование будет преимуществом.    Стань частью самой известной и успешной команды ресторанов Кофемания! Приведи в компанию друзей и получи 20 000 рублей за каждого сотрудника.   Наша вакансия также подойдет вам, если вы искали: работа повар, кондитер, кондитер-скульптор, шоколатье, скульптор, пиццайоло, тестомес, тестовод, булочник, хлебопёк, грильщик, заготовщик, повар горячего цеха (г.ц.), повар холодного цеха (х.ц.), су-шеф, работа на супах, мясника, М/Ц, Жиловщик, Обвальщик, Рубщик, сушиста, помощник повара, повар без опыта, кейтеринг, повар в компаниях: White Rabbit Family, Lucky group, Буше, kosmos kitchen, Novikov Group, She, Ресторанный Холдинг Тигрус, Alba group, ПушкинЪ, Гудман, I Love Cake, Брусника, Северянине, Доктор Живаго, Сибирь, Osteria Mario, Пятерочка, Перекресток, Ашан, Вкусвилл, Магнит, Лента, Глобус, Окей, Азбука Вкуса, Мираторг, Велком, Мясокомбинат, Мясной дом, Рублевские колбасы, Ремит, Черкизово, Петелинка, Троекурово, Дымов, Останкино, Коломенское, Мясновъ, Мясной гурман, Мясницкий ряд, Русагро.Ждём в команду!          ООО «Азарика» представляет бренд Кофемания"
